"","ref_number","prefix","property_name","state","county","city","street_number","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","external_link","level_of_significance_international","level_of_significance_national","level_of_significance_state","level_of_significance_local","level_of_significance_not_indicated","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name","address","latitude","longitude"
"79","94001338","AD","Siloam Springs Downtown Historic District (Additional Documentation)","Arkansas","Benton","Siloam Springs","Roughly bounded by Sager Cr., Ashley St., Madison Ave. and Twin Springs St.","Listed","Add.doc.",FALSE,40,"Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1995-05-26,NA,"See Also:79000432;87002386;87002428;87002431;87002432;870023",NA,"94001338","Siloam Springs Downtown (Additional Documentation)","Siloam Springs Downtown Historic District (Additional Documentation), Benton, Arkansas",34.569286,-92.585398
"80","01000113",NA,"Sulphur Springs Old School Complex Historic District","Arkansas","Benton","Sulphur Springs","512 Black St.","Listed","Single",FALSE,3,"Architecture; Education","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2001-02-16,NA,"BE3573",NA,"01000113","Sulphur Springs Old School Complex","Sulphur Springs Old School Complex Historic District, Benton, Arkansas",35.32675,-92.22848
"81","87002412","AD","Walnut Street Historic District","Arkansas","Benton","Rogers","Walnut St.","Listed","Add.doc.",FALSE,5.5,"Architecture","District",NA,FALSE,FALSE,TRUE,TRUE,FALSE,1988-01-28,NA,"See Also:Rogers Commercial Historic District (Boundary Incre",NA,"87002412","Walnut Street","Walnut Street Historic District, Benton, Arkansas",36.3329882,-94.1167586
"82","07000954",NA,"Cricket And Crest Tunnels Historic District","Arkansas","Boone","Omaha","Under and W of Old US 65","Listed","Single",FALSE,25.5,"Transportation; Engineering","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2007-09-19,NA,"Sites # BO0197-BO0198; Omaha and Turkey Creek Tunnels; Tunnels ""B"" &amp; ""C""",NA,"07000954","Cricket And Crest Tunnels","Cricket And Crest Tunnels Historic District, Boone, Arkansas",36.483399,-93.205458
"83","99000523",NA,"Harrison Courthouse Square Historic District","Arkansas","Boone","Harrison","Roughly bounded by N. Walnut, W. Ridge, N. Willow, and W. Stephenson Sts.","Listed","Single",FALSE,15.5,"Community Planning And Development; Architecture; Commerce; Politics/Government","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1999-05-06,NA,"BO 0091",NA,"99000523","Harrison Courthouse Square","Harrison Courthouse Square Historic District, Boone, Arkansas",36.229803,-93.107432
"84","16000433",NA,"Warren Commercial Historic District","Arkansas","Bradley","Warren","Roughly bounded by Alabama, Elm, Chestnut, 2nd, Church, Main & Howard Sts.","Listed","Single",FALSE,20,"Commerce; Politics/Government","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2016-07-11,NA,"BR0138",NA,"16000433","Warren Commercial","Warren Commercial Historic District, Bradley, Arkansas",33.615051,-92.064277
"85","16000402",NA,"Berryville Commercial Historic District","Arkansas","Carroll","Berryville","Public Square","Listed","Single",FALSE,24,"Commerce; Politics/Government; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,2016-06-23,NA,NA,NA,"16000402","Berryville Commercial","Berryville Commercial Historic District, Carroll, Arkansas",36.3649629,-93.5675582
"86","70000118",NA,"Eureka Springs Historic District","Arkansas","Carroll","Eureka Springs","Most Eureka Springs and its environs","Listed","Single",FALSE,1246,"Commerce; Architecture; Community Planning And Development; Landscape Architecture; Health/Medicine; Social History","District",NA,FALSE,TRUE,FALSE,TRUE,FALSE,1970-12-18,NA,"See Also:Eureka Springs Historic District (Boundary Increase",NA,"70000118","Eureka Springs","Eureka Springs Historic District, Carroll, Arkansas",36.40285,-93.73658
"87","79003730",NA,"Eureka Springs Historic District (Boundary Increase)","Arkansas","Carroll","Eureka Springs","S. Main","Listed","Single",FALSE,5,"Commerce; Architecture; Social History","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1979-01-29,NA,"Eureka Springs Railroad Depot;See Also:Eureka Springs Histor",NA,"79003730","Eureka Springs (Boundary Increase)","Eureka Springs Historic District (Boundary Increase), Carroll, Arkansas",36.40285,-93.73658
"88","98001346",NA,"Lake Leatherwood Park Historic District","Arkansas","Carroll","Eureka Springs","Bet. US 62 and AR 23 at Leatherwood L.","Listed","Multiple",FALSE,1600,"Exploration/Settlement; Social History; Architecture","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1998-11-24,NA,"CR2017-CR2038;See Also: Lake Leatherwood Recreational Facili",NA,"98001346","Lake Leatherwood Park","Lake Leatherwood Park Historic District, Carroll, Arkansas",36.479482526829,-93.758772177206
"89","98001346","RS","Lake Leatherwood Park Historic District (Additional Documentation)","Arkansas","Carroll","Eureka Springs","1303 Cty. Rd. 204","Listed","Resubmission",FALSE,1566,"Entertainment/Recreation","District",NA,FALSE,FALSE,FALSE,TRUE,FALSE,1998-11-24,NA,NA,NA,"98001346","Lake Leatherwood Park (Additional Documentation)","Lake Leatherwood Park Historic District (Additional Documentation), Carroll, Arkansas",36.34102,-93.53818
