museum_url,category,museum_name,street_address,state,country,full_address,website_link,latitude,longitude
https://whichmuseum.com/museum/queen-emma-summer-palace-honolulu-31990,History & Anthropology,Queen Emma Summer Palace,2913 Pali Hwy,Hawaii,United States,"2913 Pali Hwy, Hawaii, United States",https://daughtersofhawaii.org/queen-emma-summer-palace/,21.3358254,-157.8394682
https://whichmuseum.com/museum/fabyan-villa-museum-geneva-31991,History & Anthropology,Fabyan Villa Museum,1925 S Batavia Ave,Illinois,United States,"1925 S Batavia Ave, Illinois, United States",https://www.ppfv.org/fabyan-villa-museum,41.8672488,-88.3134321
https://whichmuseum.com/museum/princeton-battlefield-state-park-31992,History & Anthropology,Princeton Battlefield State Park,500 Mercer Rd,New Jersey,United States,"500 Mercer Rd, New Jersey, United States",https://www.nj.gov/dep/parksandforests/parks/princetonbattlefieldstatepark.html,40.33112,-74.676647
https://whichmuseum.com/museum/fleming-museum-of-art-burlington-12731,Art & Design,Fleming Museum of Art,Colchester Avenue 61,Vermont,United States,"Colchester Avenue 61, Vermont, United States",https://www.uvm.edu/fleming,44.4799091,-73.1971071
https://whichmuseum.com/museum/tillamook-forest-center-13218,Nature & Natural History,Tillamook Forest Center,OR-6,Oregon,United States,"OR-6, Oregon, United States",http://tillamookforestcenter.org/,45.4608417,-123.8016956
https://whichmuseum.com/museum/marzen-house-museum-lovelock-19036,History & Anthropology,Marzen House Museum,25 Marzen Ln,Nevada,United States,"25 Marzen Ln, Nevada, United States",https://pershingcounty.net/community/marzen_house_museum/index.php,40.1704275,-118.4823086
https://whichmuseum.com/museum/judah-p-benjamin-confederate-memorial-at-gamble-plantation-historic-state-park-ellenton-31746,History & Anthropology,Judah P. Benjamin Confederate Memorial at Gamble Plantation Historic State Park,"3708 Northeast, Patten Ave",Florida,United States,"3708 Northeast, Patten Ave, Florida, United States",https://www.floridastateparks.org/parks-and-trails/judah-p-benjamin-confederate-memorial-gamble-plantation-historic-state-park,NA,NA
https://whichmuseum.com/museum/tabor-wing-house-dover-plains-31747,History & Anthropology,Tabor-Wing House,3128 NY-22,New York,United States,"3128 NY-22, New York, United States",http://www.dovernyhistoricalsociety.org/,43.1125138,-73.3701184
https://whichmuseum.com/museum/coastal-maine-botanical-gardens-boothbay-31767,Nature & Natural History,Coastal Maine Botanical Gardens,105 Botanical Gdns Dr,Maine,United States,"105 Botanical Gdns Dr, Maine, United States",https://www.mainegardens.org,43.8720213,-69.6594742
https://whichmuseum.com/museum/port-isabel-lighthouse-state-historic-site-31769,History & Anthropology,Port Isabel Lighthouse State Historic Site,421 E Queen Isabella Blvd,Texas,United States,"421 E Queen Isabella Blvd, Texas, United States",https://portisabellighthouse.com/lighthouse/,26.0775568,-97.2074563
https://whichmuseum.com/museum/michigan-maritime-museum-south-haven-31770,Science & Technology,Michigan Maritime Museum,260 Dyckman Ave,Michigan,United States,"260 Dyckman Ave, Michigan, United States",https://www.michiganmaritimemuseum.org,42.4065234,-86.274344
https://whichmuseum.com/museum/shrine-of-the-grotto-of-the-redemption-west-bend-31771,History & Anthropology,Shrine of the Grotto of the Redemption,208 1st Ave NW,Iowa,United States,"208 1st Ave NW, Iowa, United States",https://www.westbendgrotto.com,42.4425922,-91.00838
https://whichmuseum.com/museum/sarasota-jungle-gardens-31772,Nature & Natural History,Sarasota Jungle Gardens,3701 Bay Shore Rd,Florida,United States,"3701 Bay Shore Rd, Florida, United States",https://sarasotajunglegardens.com,27.3672818,-82.554906
https://whichmuseum.com/museum/fenwick-island-lighthouse-ocean-city-31773,History & Anthropology,Fenwick Island Lighthouse,103 146th St,Maryland,United States,"103 146th St, Maryland, United States",https://fenwickislandlighthouse.org,38.4510606,-75.052594
https://whichmuseum.com/museum/fort-st-jean-baptiste-state-historic-site-natchitoches-31774,History & Anthropology,Fort St. Jean Baptiste State Historic Site,155 Jefferson St,Louisiana,United States,"155 Jefferson St, Louisiana, United States",https://www.lastateparks.com/historic-sites/fort-st-jean-baptiste-state-historic-site,31.7525118,-93.0876954
https://whichmuseum.com/museum/ludington-north-breakwater-light-31923,History & Anthropology,Ludington North Breakwater Light,West Loomis Stree,Michigan,United States,"West Loomis Stree, Michigan, United States",https://visitludington.com/north-breakwater-lighthouse-ludington,NA,NA
https://whichmuseum.com/museum/dunsmuir-botanical-gardens-31975,Nature & Natural History,Dunsmuir Botanical Gardens,4841 Dunsmuir Ave,California,United States,"4841 Dunsmuir Ave, California, United States",https://dunsmuirbotanicalgardens.org/,41.2238298,-122.2759884
https://whichmuseum.com/museum/burnt-coat-harbor-light-swans-island-31976,History & Anthropology,Burnt Coat Harbor Light,433 Harbor Rd,Maine,United States,"433 Harbor Rd, Maine, United States",https://www.burntcoatharborlight.com/,44.1344915,-68.4476379
https://whichmuseum.com/museum/norman-bird-sanctuary-middletown-31977,Nature & Natural History,Norman Bird Sanctuary,583 3rd Beach Rd,Rhode Island,United States,"583 3rd Beach Rd, Rhode Island, United States",https://normanbirdsanctuary.org,NA,NA
https://whichmuseum.com/museum/museum-of-history-industry-seattle-31993,History & Anthropology,Museum of History & Industry,860 Terry Ave N,Washington,United States,"860 Terry Ave N, Washington, United States",https://mohai.org/,47.6275114,-122.3367506
https://whichmuseum.com/museum/voelker-orth-museum-queens-31994,History & Anthropology,Voelker Orth Museum,38th Ave,New York,United States,"38th Ave, New York, United States",http://www.vomuseum.org,40.7618913,-73.8260399
https://whichmuseum.com/museum/historic-kenmore-fredericksburg-31995,History & Anthropology,Historic Kenmore,1201 Washington Ave,Virginia,United States,"1201 Washington Ave, Virginia, United States",https://kenmore.org/visit-historic-kenmore/,38.3040967,-77.4663332
https://whichmuseum.com/museum/star-spangled-banner-flag-house-baltimore-31996,History & Anthropology,Star Spangled Banner Flag House,844 E Pratt St,Maryland,United States,"844 E Pratt St, Maryland, United States",http://www.flaghouse.org,39.2875074,-76.6033339
https://whichmuseum.com/museum/sahuaro-ranch-park-glendale-31997,History & Anthropology,Sahuaro Ranch Park,9802 59th Ave,Arizona,United States,"9802 59th Ave, Arizona, United States",https://www.glendaleaz.com/Live/Amenities/parks_facilities_trails/regional_parks/sahuaro_ranch_park,33.5764789,-112.1878923
https://whichmuseum.com/museum/otis-house-boston-31998,History & Anthropology,Otis House,141 Cambridge St,Massachusetts,United States,"141 Cambridge St, Massachusetts, United States",https://www.historicnewengland.org/property/otis-house/,42.2437469,-71.8252723
https://whichmuseum.com/museum/the-barnes-arboretum-at-saint-joseph-s-university-merion-station-32201,Nature & Natural History,The Barnes Arboretum at Saint Joseph's University,50 Lapsley Ln,Pennsylvania,United States,"50 Lapsley Ln, Pennsylvania, United States",https://www.sju.edu/barnesarboretum,39.997188,-75.240295
https://whichmuseum.com/museum/marshall-station-32424,Science & Technology,Marshall Station,800 North Washington Street Suite 2,Texas,United States,"800 North Washington Street Suite 2, Texas, United States",https://www.greatamericanstations.com/stations/marshall-tx-mhl/,NA,NA
https://whichmuseum.com/museum/concord-point-lighthouse-havre-de-grace-32612,History & Anthropology,Concord Point Lighthouse,700 Concord St,Maryland,United States,"700 Concord St, Maryland, United States",https://concordpointlighthouse.org/,39.541457,-76.085581
https://whichmuseum.com/museum/carter-house-franklin-12777,History & Anthropology,Carter House,1140 Columbia Ave,Tennessee,United States,"1140 Columbia Ave, Tennessee, United States",http://www.boft.org/carter-house,35.9170294,-86.8735275
https://whichmuseum.com/museum/alabama-aquarium-dauphin-island-12827,Nature & Natural History,Alabama Aquarium,102 Bienville Blvd,Alabama,United States,"102 Bienville Blvd, Alabama, United States",https://www.disl.edu/aquarium,30.2512513,-88.082004
https://whichmuseum.com/museum/art-and-culture-center-hollywood-13226,Art & Design,Art and Culture Center Hollywood,1650 Harrison St,Florida,United States,"1650 Harrison St, Florida, United States",http://www.artandculturecenter.org/,26.0105746,-80.1408651
https://whichmuseum.com/museum/longfellow-evangeline-state-historic-site-st-martinville-31979,History & Anthropology,Longfellow-Evangeline State Historic Site,1200 N Main St,Louisiana,United States,"1200 N Main St, Louisiana, United States",https://www.lastateparks.com/historic-sites/longfellow-evangeline-state-historic-site,31.140938,-92.063683
https://whichmuseum.com/museum/forbes-house-museum-milton-32000,History & Anthropology,Forbes House Museum,215 Adams St,Massachusetts,United States,"215 Adams St, Massachusetts, United States",https://www.forbeshousemuseum.org,42.3015628,-71.0601771
https://whichmuseum.com/museum/creation-evidence-museum-glen-rose-32002,History & Anthropology,Creation Evidence Museum,3102 FM 205,Texas,United States,"3102 FM 205, Texas, United States",https://www.creationevidence.org,32.230245,-97.805264
https://whichmuseum.com/museum/south-coast-botanic-garden-palos-verdes-estates-32093,Nature & Natural History,South Coast Botanic Garden,Crenshaw Blvd,California,United States,"Crenshaw Blvd, California, United States",https://southcoastbotanicgarden.org/,34.0329422,-118.3348688
