Name,Street Address,City,State,PostalCode,Latitude,Longitude
Mehmke Steam Tractor Museum,8244 Us Highway 89,Great Falls,MT,59405,47.45472,-111.06556
Lake Shore Railway Museum,31 Wall St,North East,PA,16428,42.209892,-79.83875
Childrens Museum of North Bay,227 Keller St,Petaluma,CA,94952,38.23601,-122.64372
Compass Inn Museum,Us Route 30,Laughlintown,PA,15655,40.207443,-79.183914
High Springs Museum,23760 NW 187th Ave,High Springs,FL,32643,29.828724,-82.597984
Downing House Museum,311 S Main St,Memphis,MO,63555,40.456207,-92.17069
Hall House Museum,226 S Jackson St,Salisbury,NC,28144,35.66794,-80.47391
Bulls Gap Railroad Museum,153 S Main St,Bulls Gap,TN,37711,36.253292,-83.085945
Indian House Children's Museum,107 Old Main St,Deerfield,MA,01342,42.54962,-72.603806
Greenville Cy Hall Memorial Museum,132 Main St,Greenville,CA,95947,40.13853,-120.95267
Bellamy Mansion Museum,503 Market St,Wilmington,NC,28401,34.235996,-77.94303
Reedley Museum,1752 10th St,Reedley,CA,93654,36.597088,-119.45208
Freedom Rides Museum,210 S Court St,Montgomery,AL,36104,32.374485,-86.30909
Greater Cinti Police Museum,959 W 8th St,Cincinnati,OH,45203,39.1034,-84.53239
Little Congress Bicycle Museum,807 Lewellyn St,Cumberland Gap,TN,37724,36.600166,-83.668304
Columbia Museum,2029 E 7th Ave,Tampa,FL,33605,27.960115,-82.43561
Battlefield Military Museum,900 Baltimore Pike,Gettysburg,PA,17325,39.819157,-77.22743
Childrens Museum of St Tammany,21404 Koop Dr,Mandeville,LA,70471,30.418627,-90.04734
Nebraska UFO Museum,539 S Baltimore Ave,Hastings,NE,68901,40.578297,-98.40186
Round Barn Farm Museum,24115 S US Highway 52,Manhattan,IL,60442,41.449184,-88.002495
Rosenbach Museum & Library,2008 Delancey St,Philadelphia,PA,19103,39.94739,-75.17537
Museum of Special Art,8001 14th Ave NE,Seattle,WA,98115,47.687847,-122.31347
Lillie Carroll Jackson Museum,1320 Eutaw Pl,Baltimore,MD,21217,39.303844,-76.626526
Elbert Hubbard Roycroft Museum,363 Oakwood Ave,East Aurora,NY,14052,42.765633,-78.62131
Vermilion News Print Shop Museum,727 Grand St,Vermilion,OH,44089,41.420635,-82.365875
Greenbelt Museum,10 Crescent Rd,Greenbelt,MD,20770,39.000294,-76.87971
Union Depot Railroad Museum,683 Main St,Mendota,IL,61342,41.547905,-89.11824
SBPG Islenos Museum,1345 Bayou Rd,Saint Bernard,LA,70085,29.867485,-89.859406
Busch-Reisinger Museum,32 Quincy St,Cambridge,MA,02138,42.374313,-71.11441
Cayton Children's Museum,395 Santa Monica Pl Ste 374,Santa Monica,CA,90401,34.015076,-118.493866
Neal John Deere Tractor Museum,5507 Snyder Country Rd,Trinity,NC,27370,35.79647,-79.9895
McCoy-McMechen Museum Inc,121 N Main St,Moorefield,WV,26836,39.063576,-78.96972
Commodore Museum,208 E Martin Luther King Hwy,Tuskegee,AL,36083,32.42431,-85.6891
Pennsylvania Trolley Museum,8548 W Lake Mead Blvd,Las Vegas,NV,89128,36.19907,-115.28073
Hank Williams Museum,400 W Railroad Ave N,Georgiana,AL,36033,31.645857,-86.73724
Versailles Area Museum,552 Sw Street Marker Rd,Versailles,OH,45380,40.2348,-84.5001
Anderson Store Museum,3081 Anderson Ln,Ephraim,WI,54211,45.161922,-87.1721
Whipple House Museum,14 Pleasant St,Ashland,NH,03217,43.69449,-71.63183
Williamsport Museum,14 Springfield Ln,Williamsport,MD,21795,39.599194,-77.81418
Tobacco Museum,135 Lang Rd,Windsor,CT,06095,41.901455,-72.70299
USF Contemporary Art Museum,3821 Usf Holly Dr,Tampa,FL,33620,28.065098,-82.41773
Billy The Kid Museum,1435 E Sumner Ave,Fort Sumner,NM,88119,34.46645,-104.22942
Wayne County Museum,419 S Main St,Waynesboro,TN,38485,35.312603,-87.7631
Elvis Museum,3152 Parkway Ste 7A,Pigeon Forge,TN,37863,35.793304,-83.56114
Long Island Maritime Museum,86 West Ave,Patchogue,NY,11772,40.762157,-73.018265
Mullin Automotive Museum,1421 Emerson Ave,Oxnard,CA,93033,34.18274,-119.16377
Parrish Art Museum,25 Jobs Ln,Southampton,NY,11968,40.883984,-72.39045
University Museum-Contemporary,151 Presidents Dr,Amherst,MA,01003,42.3874,-72.52598
White River Museum,565 Madison Ave,Meeker,CO,81641,39.94976,-107.67822
The Children's Museum of Nwa,209 NE 2nd St,Bentonville,AR,72712,36.37306,-94.20785
Johnson County Museum of History,6305 S Lackman Rd,Olathe,KS,66062,38.90712,-94.76094
Three Notch Museum,100 Pisdale St,Andalusia,AL,36420,31.2561,-86.5072
City of Courtland Museum,262 College St,Town Creek,AL,35672,34.680843,-87.407295
Stepping Stones Museum For Children,303 West Ave,Norwalk,CT,06850,41.11013,-73.41769
Nana Museum of The Arctic,100 Shore Ave,Kotzebue,AK,99752,66.894516,-162.6049
Museum of Disability History,1219 N Forest Rd,Buffalo,NY,14221,42.989006,-78.760475
Duncan & Miller Glass Museum,100 Ridge Ave,Washington,PA,15301,40.17781,-80.24155
Children's Museum of Tacoma,936 Broadway,Tacoma,WA,98402,47.25418,-122.440506
