"Name","Latitude","Longitude","capacity"
"Hanner Fieldhouse",32.4277076,-81.7792332,4325
"Harding Mazzotti Arena",43.3081449,-73.6418027,NA
"Hart Center",42.2351148,-71.8060827,3536
"Halton Arena",35.3062301,-80.7344377,9105
"Health and Physical Education Arena",29.7229985,-95.365609,NA
"Health and Sports Center",40.7001541,-99.1001451,5100
"Hearnes Center",38.9342846,-92.3306251,13661
"Heartland Events Center",40.905475,-98.3298552,6000
"Heartland Credit Union Arena",37.8310469,-97.3313533,5000
"HEB Center at Cedar Park",30.5414031,-97.8201521,NA
"Herb Brooks Arena",44.284193,-73.9850932,7700
"Herb Brooks National Hockey Center",45.5467625,-94.1524136,5159
"Heritage Bank Center",39.0980278,-84.5043897,12823
"Hersheypark Arena",40.2881174,-76.6565734,7286
"Hertz Arena",26.4401242,-81.7786593,7181
"Hill Convocation Center",32.4063324,-81.7829837,5500
"Hilliard Center",27.8072326848586,-97.3934769630432,8100
"Hilton Coliseum",42.0209958,-93.6348224,14267
"Hinkle Fieldhouse",39.8436369,-86.1673863,9100
"Hirsch Coliseum",32.4766685,-93.7894034,4000
"Hitachi Energy Arena",36.9339301,-80.9894952,3650
"Hobdy Assembly Center",32.5203831,-92.7237458,7600
"Holmes Center",36.2104418,-81.6757,8325
"Honda Center",33.8076345,-117.876327,17732
"Hope Coliseum",39.6493191,-79.9815845,14000
"Houston Field House",42.7320485,-73.6694992,4780
"HPE Complex",32.5327489,-83.8975454,5500
"HPER Complex",33.5105515,-90.3409732,5000
"Huff Hall",40.1035321,-88.2327569,4536
"Hulman Center",39.4685101,-87.4050808,9000
"Humphrey Coliseum",33.4616772,-88.7940359,9100
"Huntington Center",41.6511022,-83.5367131,7389
"Huron Arena",44.3605213,-98.2165986,4848
"Hutchinson Sports Arena",38.065612,-97.9160465,6500
"ICCU Arena",46.7274439,-117.0174105,4200
"Ice Arena at The Monument",44.0870533,-103.2252324,5119
"Ice Box",40.8328641,-96.6973042,4212
"Idaho Central Arena",43.614248,-116.2043078,5006
"ImOn Ice Arena",41.9658484,-91.6885258,3733
"Ingalls Rink",41.3168355,-72.925036,3500
"INTRUST Bank Arena",37.6833618,-97.3319685,13302
"Intuit Dome",33.9437591,-118.3422231,17927
"Island Federal Credit Union Arena",40.917392,-73.1259978,NA
"Jack Stephens Center",34.7284312,-92.3406136,5600
"Jadwin Gymnasium",40.3433878,-74.6486449,6854
"James A. Rhodes Arena",41.0738436,-81.5084482,5500
"James Center Arena",32.4309631,-85.710327,NA
"James S. Trent Arena",39.6982884,-84.1662276,3650
"Jamestown Civic Center",46.9101124,-98.7048305,5269
"Jenison Field House",42.7308585,-84.4900292,4900
"Jenny Craig Pavilion",32.7744568,-117.1838021,5100
"Jersey Mike's Arena",40.5252541,-74.4412619,NA
"John A. Wilson Complex",35.6016273,-105.224331,4250
"John D. Millett Hall",39.5172348,-84.7345555,NA
"John Paul Jones Arena",38.0459619,-78.5065842,14623
"Johnson Center",35.0825157,-106.6182697,4800
"John Wooden Gymnasium",39.419927,-86.4104493,5500
"Jones Convocation Center",41.716525,-87.6083493,7000
"Jon M. Huntsman Center",40.7620404,-111.8387175,15000
"Kaplan Arena",37.2734595,-76.719667,8600
"Kaseya Arena",25.7813824,-80.1876211,19600
"Kay Yeager Coliseum",33.9157674,-98.4976118,6400
"KeyBank Center",42.8748241,-78.8763642,18690
"KFC Yum! Center",38.2577363,-85.7539129,22090
"Kia Center",28.5391587,-81.3839293,18486
"Kitchener Memorial Auditorium",43.4470539,-80.4676867,7131
"Knapp Center",41.6046452,-93.6522031,6424
"Knoxville Civic Coliseum",35.9654637,-83.9116538,4973
"Kohl Center",43.0693737,-89.3966317,16838
"Kolf Sports Center",44.0241669,-88.5519075,5600
"Kovalchick Complex",40.6143026,-79.1614591,5000
"Kress Events Center",44.5303496,-87.9162053,NA
"KSU Convocation Center",34.0369065,-84.5804438,4600
"Lakefront Arena",30.0301637,-90.0503933,8785
"Landers Center",34.9270467,-89.9962878,9000
"Landon Arena",39.0340258,-95.6860547,7773
"Langley Events Centre",49.1460503,-122.6661301,4922
"Laredo Energy Arena",27.5582755,-99.4525337,8665
"Lawlor Events Center",39.5450717,-119.8182786,11536
"Lawrence Joel Coliseum",36.1278145,-80.2575731,14665
"Lawson Arena",42.2758719,-85.6178069,3667
"LBS Pyramid",33.7874136,-118.1144536,4200
"Leavey Center",37.3491555,-121.9351691,4700
"LECOM Event Center",42.0885024,-76.8079565,3784
"Lee and Penny Anderson Arena",44.9398861,-93.1945855,5300
"Lee's Family Forum",36.0192976,-115.0814813,NA
"Legacy Arena",33.523848,-86.8129027,17654
"Legacy Center",30.1758088,-93.209563,4200
"Leo D. Mahoney Arena",41.1598416,-73.2566495,3500
"Leopold Drolet Sports Palace",45.4103968,-71.8834269,3707
"Liacouras Center",39.9798578,-75.1585221,10206
"Liberty First Credit Union Arena",41.2069755,-96.0269237,4000
"LionTree Arena",32.8852769,-117.23912,4000
"Little Caesars Arena",42.3411236,-83.05516,19515
"Littlejohn Coliseum",34.6803524,-82.8464734,9000
"Lloyd E. Scott Gym",38.9552784,-85.9070069,8228
"Lloyd Noble Center",35.1874267,-97.4442887,11562
"Lynah Rink",42.4457073,-76.4773644,4267
"M&T Bank Center",41.4138956,-72.9105521,NA
"Mabee Center",36.048032,-95.9558451,8781
"MacInnes Student Ice Arena",47.112479,-88.5457814,4466
"Mackey Arena",40.4333024,-86.9161034,14876
"Mack Sports Complex",40.7196644,-73.5968865,4712
"Maclellan Gym",35.0481975,-85.2998149,4177
"Macon Coliseum",32.8421959,-83.6196578,7182
"Madison Square Garden",40.7505569,-73.9934778,18006
"Magness Arena",39.6823627,-104.9617589,6026
"Maples Pavilion",37.429538,-122.1605229,7233
"Marriott Center",40.2540491,-111.6493106,17978
"Martire Family Arena",41.215974,-73.2539276,3600
"Martz Hall",40.6822144,-76.2125498,4100
"Massari Arena",38.3095168,-104.5756334,3900
"MassMutual Center",42.1021708,-72.5870132,6793
"Matthew Knight Arena",44.0446685,-123.0659831,12364
"Matthews Arena",42.3411713,-71.0845577,4757
"Maturi Pavilion",44.9772574,-93.228929,5840
"Maverik Center",40.7027487,-111.950469,10207
"Mayo Civic Center",44.0228778,-92.4597679,5200
"Mayo Clinic Health System Event Center",44.166283,-94.004463,4832
"McAlister Field House",32.7984852,-79.9625302,6000
"McAnally Center",39.6422201,-86.8425926,5280
"McCamish Pavilion",33.7806633,-84.3927885,8600
"McCarthey Athletic Center",47.6653801,-117.3992157,6000
"McCasland Field House",35.2081755,-97.4422844,4640
"McGonigle Hall",39.9806059,-75.1578408,3900
"McGuirk Arena",43.5815139,-84.7740591,5300
"McKale Center",32.2303687,-110.9460622,14688
"McKenzie Arena",35.0501651,-85.300802,10995
"McLeod Center",42.5141755,-92.4671495,6650
"Memorial Athletic and Convocation Center",41.1481732,-81.3440421,6327
"Memorial Coliseum",38.0394558,-84.5005059,7000
"Memorial Fieldhouse",47.2594126,-122.4812454,5400
"Memorial Gym",31.7756073,-106.5047237,5200
"Memorial Gymnasium",36.1445722,-86.8073666,14316
"Memorial Hall",40.599114,-75.5095898,3529
"Meridian Centre",43.1562166,-79.2440844,5300
"Michelob Ultra Arena",36.0906471,-115.1789743,12000
"Michigan City High School Gym",41.6778923,-86.8625871,7304
"Mid-America Center",41.2374743,-95.8903249,NA
"Minges Coliseum",35.5973724,-77.3670423,7100
"Minot State Dome",48.2481331,-101.3003826,6000
"Mississippi Coast Coliseum",30.3935653,-88.9744824,9150
"Mississippi Coliseum",32.3001017,-90.1719833,6812
"Mitchell Center",30.6922497,-88.1796169,10041
"Mizzou Arena",38.9324652,-92.3337365,15061
"Moby Arena",40.5755242,-105.0929726,8093
"M.O. Campbell Educational Center",29.9323853,-95.3599837,6400
"Moda Center",45.5315152,-122.6667309,19980
"Mohegan Arena",41.2405048,-75.8485472,7500
"Mohegan Sun Arena",41.4911324,-72.0897853,9323
"Monroe Civic Center",32.5025469,-92.1080051,5600
"Moody Center",30.2809536,-97.7306253,10763
"Mortgage Matchup Center",33.445963,-112.0711684,18422
"MTI Center",41.6306906,-85.0146639,3500
"Mullett Arena",33.4268666,-111.9285073,5000
"Mullins Center",42.3894476,-72.5334979,9493
"Multipurpose Building",38.7571705,-93.744117,6500
"Multipurpose Center",37.239938,-77.4250102,5200
"Municipal Auditorium",39.0978697,-94.5864111,9721
"Munn Ice Arena",42.728234,-84.4893158,6114
"Murphy Center",35.8523178,-86.3694799,11520
"MVP Arena",42.6484567,-73.7547183,15229
"Nassau Veterans Memorial Coliseum",40.7229006,-73.5906959,13917
"Nationwide Arena",39.9691036,-83.0058289,18500
"Neal S. Blaisdell Center",21.298951,-157.8512836,7775
"Neches Arena",30.0440583,-94.0707565,10080
"Neville Arena",32.6027774274405,-85.4925048351288,9121
"New Castle Fieldhouse",39.9113595,-85.3771905,7829
"Newman Arena",42.4458023,-76.4759911,3500
"Nicoson Hall",39.7088828,-86.1317826,4000
"NIU Convocation Center",41.9352637,-88.7855602,9100
"Norfolk Scope Arena",36.8532608,-76.286906,8701
"North Charleston Coliseum",32.8656383,-80.0222737,10537
"North Side Gymnasium",41.7017487,-85.9753366,7373
"NOW Arena",42.0693182,-88.2128871,10000
"Nutter Center",39.7818687,-84.0523946,10400
"Ocean Bank Convocation Center",25.7569764,-80.3796673,5000
"Ocean Center",29.2285084,-81.0110275,8020
"OceanFirst Bank Center",40.2794274,-74.0075004,4100
"O'Connell Center",29.6493278,-82.3510856,10151
"OG&E Coliseum",35.4694389,-97.5716132,4500
"Orleans Arena",36.1058611,-115.2021968,7051
"Oshkosh Arena",44.0070768,-88.5374933,3500
"OU Credit Union O’rena",42.6740588,-83.2129651,4000
"Owensboro Sportscenter",37.7626787,-87.1262223,4817
"Pacific Coliseum",49.2859411,-123.0428475,14958
"Pacific Steel & Recycling Arena",47.5144472,-111.3200856,5054
"Pan American Center",32.2840216,-106.7422199,12575
"Paoli Gymnasium",38.5498184,-86.4771039,4200
"Paramount Fine Foods Centre",43.6319752,-79.6537864,5311
"Paul E. Tsongas Center",42.6503112,-71.3132751,NA
"Pauley Pavilion",34.0703291,-118.4469134,13800
"Paycom Center",35.4634663,-97.5150669,18203
"Pechanga Arena",32.7552673,-117.2121692,12920
"Pegula Ice Arena",40.8065739,-77.857039,5704
"Pelham Civic Complex",33.3293516,-86.7891269,4000
"Pensacola Bay Center",30.4163425,-87.2088826,8150
"PeoplesBank Arena",41.768395,-72.6769586,15635
"Pete Hanna Center",33.4638164,-86.7971179,5000
"Pete Maravich Assembly Center",30.414233,-91.1844849,13215
"Pete Mathews Coliseum",33.8241206,-85.7734878,3500
"Peterborough Memorial Centre",44.288542,-78.3156163,3694
"Petersen Events Center",40.4437872,-79.962337,12508
"Physical Education Complex",39.3152502,-76.6572332,4100
"Pinnacle Bank Arena",40.8179584,-96.712625,15000
"Pioneer Cellular Event Center",35.5348411,-98.7109566,3500
"PNG Field",35.8033005,-78.7217188,7210
"PPG Paints Arena",40.4395984,-79.9894381,18187
"PPL Center",40.6025248,-75.4727054,8420
"Progressive Auto Sales Arena",42.9773449,-82.3477221,4118
"Propst Arena",34.7266413,-86.5902366,6000
"Provident Credit Union Event Center",37.3353608,-121.8797761,5000
"Prudential Center",40.7336979,-74.1712546,17625
"Purcell Pavilion",41.6979385,-86.2313247,9149
"Qubein Center",35.9785835,-79.996547,4500
"Racer Arena",36.614533,-88.3205938,5500
"Raising Cane’s River Center",30.4449107,-91.189391,8167
"Ramsey Center",35.3036648,-83.182286,7826
"Rec Hall",40.7959794,-77.8693181,5812
"Recreation Athletic Facility",44.4540091,-95.7618356,4000
"Reed Arena",30.6058377,-96.3462299,12989
"Reed Green Coliseum",31.3310862,-89.3378807,8095
"Reese Court",47.491174,-117.5892448,5000
"Reilly Center",42.0794402,-78.4850514,4850
"Renaissance Coliseum",40.6992024,-89.6178013,4200
"Resch Center",44.5000714,-88.0550122,8384
"Reynolds Center",36.148878,-95.9422302,8355
"Reynolds Coliseum",35.7835502,-78.6698395,5500
"Rick Case Arena",26.0779756,-80.2439851,4500
"Robins Center",37.5806581,-77.5388646,7201
"Rocket Arena",41.4963881,-81.6880918,19432
"Rogers Arena",49.2778427,-123.108716,18865
"RP Funding Center",28.0404766,-81.963345,4872
"Rupp Arena",38.0494091,-84.5025229,20500
