Name,Address,Latitude,Longitude,Phone,Email,Website,Website Label,Business Hours,Image URL,Description,Hyperlink,Hyperlink Label,Priority,Active
Cassell Coliseum,,37.2225971,-80.4189564,,,,,,,,,,,TRUE
CEFCU Arena,,40.5106833,-88.9987743,,,,,,,,,,,TRUE
CEI Arena,,39.2528517,-76.7123795,,,,,,,,,,,TRUE
Centennial Center,,33.0766012,-83.2338917,,,,,,,,,,,TRUE
Centre 200,,46.1372628,-60.1901221,,,,,,,,,,,TRUE
Centrum Arena,,37.675482,-113.0729521,,,,,,,,,,,TRUE
CFG Bank Arena,,39.2887054,-76.6187227,,,,,,,,,,,TRUE
CFSB Center,,36.6226577,-88.3199823,,,,,,,,,,,TRUE
Chaifetz Arena,,38.632486,-90.227859,,,,,,,,,,,TRUE
Charles E. Smith Center,,38.8978174,-77.04934,,,,,,,,,,,TRUE
Charles Koch Arena,,37.7217049,-97.29736,,,,,,,,,,,TRUE
Charleston Civic Center,,38.3559096,-81.6396834,,,,,,,,,,,TRUE
Chartway Arena,,36.8841217,-76.3014114,,,,,,,,,,,TRUE
Chase Center,,37.7678774,-122.3874542,,,,,,,,,,,TRUE
Chase Family Arena,,41.7989656,-72.7112076,,,,,,,,,,,TRUE
CHI Health Center Omaha,,41.2626383,-95.9281218,,,,,,,,,,,TRUE
Chiles Center,,45.5750895,-122.7284753,,,,,,,,,,,TRUE
Chilliwack Coliseum,,49.1696465,-121.9690776,,,,,,,,,,,TRUE
Christl Arena,,41.3863962,-73.9656258,,,,,,,,,,,TRUE
Cintas Center,,39.1502227,-84.4718922,,,,,,,,,,,TRUE
Cleveland Public Auditorium,,41.5036739,-81.6930473,,,,,,,,,,,TRUE
Climate Pledge Arena,,47.6220922,-122.3540655,,,,,,,,,,,TRUE
Clune Arena,,39.0129067,-104.8868716,,,,,,,,,,,TRUE
CN Centre,,53.9044899,-122.8019893,,,,,,,,,,,TRUE
Coca-Cola Coliseum,,43.6355627,-79.4150162,,,,,,,,,,,TRUE
Coleman Coliseum,,33.2030015,-87.5396982,,,,,,,,,,,TRUE
College Park Center,,32.7307397,-97.1083047,,,,,,,,,,,TRUE
Colonial Life Arena,,33.9948251,-81.0373021,,,,,,,,,,,TRUE
Columbus Civic Center,,32.450272,-84.987681,,,,,,,,,,,TRUE
Comerica Center,,33.1005971,-96.8199671,,,,,,,,,,,TRUE
Compton Family Ice Arena,,41.6938368,-86.230756,,,,,,,,,,,TRUE
Conte Forum,,42.3350211,-71.1676688,,,,,,,,,,,TRUE
Convocation Center,,33.574779,-81.7739118,,,,,,,,,,,TRUE
Convocation Center,,39.3232432,-82.1055831,,,,,,,,,,,TRUE
Convocation Center,,29.5823191,-98.6215721,,,,,,,,,,,TRUE
Convocation Center,,37.0197812,-76.331023,,,,,,,,,,,TRUE
Co-op Place,,50.0676422,-110.7356321,,,,,,,,,,,TRUE
Corbin Arena,,36.9133256,-84.1248884,,,,,,,,,,,TRUE
Corbett Sports Center,,36.0767222,-79.768805,,,,,,,,,,,TRUE
Corteva Coliseum,,39.8275926,-86.1350228,,,,,,,,,,,TRUE
Coussoulis Arena,,34.1827623,-117.3196399,,,,,,,,,,,TRUE
Covelli Center,,40.0138491,-83.0280145,,,,,,,,,,,TRUE
Covelli Centre,,41.0961627,-80.6479847,,,,,,,,,,,TRUE
Credit Union 1 Arena,,41.8748177,-87.6561838,,,,,,,,,,,TRUE
Credit Union of Texas Event Center,,33.1274167626235,-96.6548180580139,,,,,,,,,,,TRUE
Crisler Center,,42.2650033,-83.7466658,,,,,,,,,,,TRUE
Cross Insurance Arena,,43.6555241,-70.2592451,,,,,,,,,,,TRUE
Cross Insurance Center,,44.789092,-68.7791348,,,,,,,,,,,TRUE
Crown Coliseum,,35.0151654,-78.891728,,,,,,,,,,,TRUE
Crypto.com Arena,,34.0430587,-118.2672107,,,,,,,,,,,TRUE
CU Events Center,,40.004706,-105.2605248,,,,,,,,,,,TRUE
Curb Event Center,,36.1323032,-86.7946315,,,,,,,,,,,TRUE
Curtis Culwell Center,,32.9593006,-96.6419865,,,,,,,,,,,TRUE
Dahlberg Arena,,46.8638443,-113.983326,,,,,,,,,,,TRUE
Davey L. Whitney Complex,,31.8732482,-91.1332387,,,,,,,,,,,TRUE
David R. Stopher Gym,,29.7923417,-90.8013529,,,,,,,,,,,TRUE
DCU Center,,42.2649676,-71.7989641,,,,,,,,,,,TRUE
Dean E. Smith Center,,35.8994363,-79.0440078,,,,,,,,,,,TRUE
Dee Events Center,,41.1823281,-111.9450402,,,,,,,,,,,TRUE
Dee Glen Smith Spectrum,,41.7475984,-111.8119276,,,,,,,,,,,TRUE
Delmar Fieldhouse,,29.8027837,-95.4571664,,,,,,,,,,,TRUE
Delta Center,,40.7682811,-111.9012022,,,,,,,,,,,TRUE
Denny Sanford Premier Center,,43.5607554,-96.7516565,,,,,,,,,,,TRUE
Denver Coliseum,,39.7791355,-104.9707228,,,,,,,,,,,TRUE
Desert Diamond Arena,,33.531939,-112.2616902,,,,,,,,,,,TRUE
Desert Financial Arena,,33.424484,-111.9310606,,,,,,,,,,,TRUE
Dickies Arena,,32.7409071,-97.3698005,,,,,,,,,,,TRUE
Dignity Health Arena,,35.3719749,-119.0134549,,,,,,,,,,,TRUE
D.L. Ligon Coliseum,,33.8718587,-98.5197151,,,,,,,,,,,TRUE
Donald L. Tucker Center,,30.4376851,-84.2866588,,,,,,,,,,,TRUE
Don Haskins Center,,31.7773813,-106.5055257,,,,,,,,,,,TRUE
Dort Federal Event Center,,43.0109236,-83.6418021,,,,,,,,,,,TRUE
Dow Event Center,,43.4360194,-83.937006,,,,,,,,,,,TRUE
Dunkin' Donuts Center,,41.8236692,-71.4183426,,,,,,,,,,,TRUE
Dunn-Oliver Acadome,,32.3618202,-86.2930477,,,,,,,,,,,TRUE
E.A. Diddle Arena,,36.9862629,-86.457628,,,,,,,,,,,TRUE
EagleBank Arena,,38.8266574,-77.309525,,,,,,,,,,,TRUE
Eastlink Centre,,46.2452522,-63.1174153,,,,,,,,,,,TRUE
Hooper Eblen Center,,36.1784406,-85.5098963,,,,,,,,,,,TRUE
Echols Hall,,36.8476031,-76.2612748,,,,,,,,,,,TRUE
Ector County Coliseum,,31.8840123,-102.3869348,,,,,,,,,,,TRUE
Ed and Rae Schollmaier Arena,,32.7088236,-97.3666979,,,,,,,,,,,TRUE
Ed Lumley Arena,,45.0143766,-74.7233177,,,,,,,,,,,TRUE
Edmonton Expo Centre,,53.5688801,-113.4575697,,,,,,,,,,,TRUE
Ed Robson Arena,,38.8460628,-104.8223718,,,,,,,,,,,TRUE
Elam Center,,36.3435534,-88.8680542,,,,,,,,,,,TRUE
Ellis Davis Field House,,32.6373421,-96.8422723,,,,,,,,,,,TRUE
Ellis T. Johnson Arena,,38.1903417,-83.4257877,,,,,,,,,,,TRUE
Enmarket Arena,,32.0740544,-81.1115351,,,,,,,,,,,TRUE
Enterprise Center,,38.6267951,-90.2026784,,,,,,,,,,,TRUE
Erie Insurance Arena,,42.1280126,-80.0809014,,,,,,,,,,,TRUE
Events Center,,42.0934995,-75.9718993,,,,,,,,,,,TRUE
ExtraMile Arena,,43.6036014,-116.1989379,,,,,,,,,,,TRUE
F&M Bank Arena,,36.5294462,-87.3602213,,,,,,,,,,,TRUE
Fair Park Coliseum,,32.7792981,-96.757219,,,,,,,,,,,TRUE
Family Arena,,38.7477493,-90.5092764,,,,,,,,,,,TRUE
Fant-Ewing Coliseum,,32.5310573,-92.0694315,,,,,,,,,,,TRUE
Farris Center,,35.0818484,-92.4594945,,,,,,,,,,,TRUE
FedEx Forum,,35.1381248,-90.0505972,,,,,,,,,,,TRUE
Felix Event Center,,34.1338047,-117.8833437,,,,,,,,,,,TRUE
Felton J. Capel Arena,,35.075799,-78.8957405,,,,,,,,,,,TRUE
Ferrell Center,,31.5479292,-97.1056008,,,,,,,,,,,TRUE
