latitude,longitude,company,facility_name,city,state,address,products_or_focus,source_dataset,EV_facility
35.226761,-80.845876,Arrival,Charlotte Microfactory,Charlotte,NC,"Charlotte Microfactory, Charlotte, NC",Multiple Classes,EV manufacturing,TRUE
34.941355,-81.0300374,Arrival,Rock Hill Microfactory,Rock Hill,SC,"Rock Hill Microfactory, Rock Hill, SC",Multiple Classes,EV manufacturing,TRUE
37.672111,-122.083963,Zoox,Zoox Hayward Factory,Hayward,CA,"Zoox Hayward Factory, Hayward, CA",Light-Duty (Class 1-2),EV manufacturing,TRUE
32.774237,-96.609069,Hexagon Purus,Mesquite Electric Truck Integration Facility,Mesquite,TX,"Mesquite Electric Truck Integration Facility, Mesquite, TX",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
36.1690921,-115.1405767,Big Rig Manufacturing,Alexander Dennis Manufacturing,Las Vegas,NV,"Alexander Dennis Manufacturing, Las Vegas, NV",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
32.0806102,-81.0900966,Hyundai,Metaplant Manufacturing Joint Venture (JV),Savannah,GA,"Metaplant Manufacturing Joint Venture (JV), Savannah, GA",Multiple Classes,EV manufacturing,TRUE
30.264979,-97.746598,Tesla,Gigafactory 5,Austin,TX,"Gigafactory 5, Austin, TX",Multiple Classes,EV manufacturing,TRUE
48.846667,-122.591196,Vicinity,Whatcom County Assembly Facility,Ferndale,WA,"Whatcom County Assembly Facility, Ferndale, WA",Multiple Classes,EV manufacturing,TRUE
33.776069,-117.937878,Harbinger Motors,Orange County,Garden Grove,CA,"Orange County, Garden Grove, CA",Multiple Classes,EV manufacturing,TRUE
33.4151797,-111.8315,Tevva,ElectraMeccanica Mesa Manufacturing Plant,Mesa,AZ,"ElectraMeccanica Mesa Manufacturing Plant, Mesa, AZ",Medium-Duty (Class 3-6),EV manufacturing,TRUE
35.468494,-97.521264,Canoo,Oklahoma City Assembly Facility,Oklahoma City,OK,"Oklahoma City Assembly Facility, Oklahoma City, OK",Light-Duty (Class 1-2),EV manufacturing,TRUE
42.459791,-83.18197,Bollinger Motors,Oak Park Factory,Oak Park,MI,"Oak Park Factory, Oak Park, MI",Multiple Classes,EV manufacturing,TRUE
34.920567,-81.996745,Volvo Cars,South Carolina Car Factory,Ridgeville,SC,"South Carolina Car Factory, Ridgeville, SC",Light-Duty (Class 1-2),EV manufacturing,TRUE
32.901709842557,-85.129328071908,Kia,Kia Georgia,West Point,GA,"Kia Georgia, West Point, GA",Light-Duty (Class 1-2),EV manufacturing,TRUE
34.0633,-117.6509,Cenntro Automotive,Ontario Facility,Ontario,CA,"Ontario Facility, Ontario, CA",Multiple Classes,EV manufacturing,TRUE
32.6138758,-90.0349356,Nissan,Canton Factory,Canton,MS,"Canton Factory, Canton, MS",Light-Duty (Class 1-2),EV manufacturing,TRUE
44.69833,-73.44806,Nova Bus,Nova Bus Plattsburgh Plant,Plattsburgh,NY,"Nova Bus Plattsburgh Plant, Plattsburgh, NY",Heavy-Duty (Class 7-8),EV manufacturing,TRUE
40.394386,-105.070584,Lightning eMotors,HQ and Manufacturing Facility,Loveland,CO,"HQ and Manufacturing Facility, Loveland, CO",Medium-Duty (Class 3-6),EV manufacturing,TRUE
38.25752,-84.547617,Toyota,Toyota Motor Manufacturing Kentucky,Georgetown,KY,"Toyota Motor Manufacturing Kentucky, Georgetown, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
37.9884331,-85.7164778,Rivian,Shepherdsville Remanufacturing Facility,Shepherdsville,KY,"Shepherdsville Remanufacturing Facility, Shepherdsville, KY",Light-Duty (Class 1-2),EV manufacturing,TRUE
39.612033282733,-84.975574960031,Workhorse,Workhorse Ranch,Union City,IN,"Workhorse Ranch, Union City, IN",Medium-Duty (Class 3-6),EV manufacturing,TRUE
34.215166,-80.973608,Scout Motors,Blythewood Facility,Columbia,SC,"Blythewood Facility, Columbia, SC",Light-Duty (Class 1-2),EV manufacturing,TRUE
34.920567,-81.996745,Volvo Cars,South Carolina Car Factory,Ridgeville,SC,"South Carolina Car Factory, Ridgeville, SC",Light-Duty (Class 1-2),EV manufacturing,TRUE
