Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID,Address,latitude,longitude
96000734,NA,Chevy Chase Theater,DISTRICT OF COLUMBIA,District of Columbia,Washington,5612 Connecticut Ave.,Listed,Single,FALSE,0.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/117692029,FALSE,FALSE,TRUE,FALSE,FALSE,7/18/96,NA,Avalon Theater,NA,96000734,"5612 Connecticut Ave., Washington, DISTRICT OF COLUMBIA",38.965284544493,-77.076298425475
94001515,NA,Equitable Co-operative Building Association,DISTRICT OF COLUMBIA,District of Columbia,Washington,"915 F St., NW.",Listed,Multiple,FALSE,0.9,ARCHITECTURE; COMMERCE,BUILDING,https://catalog.archives.gov/id/117691577,FALSE,FALSE,TRUE,FALSE,FALSE,12/29/94,NA,NA,NA,94001515,"915 F St., NW., Washington, DISTRICT OF COLUMBIA",38.89765356616,-77.0248160218
66000034,NA,Ford's Theatre National Historic Site,DISTRICT OF COLUMBIA,District of Columbia,Washington,"10th St., NW., between E and F Sts.",Listed,Single,FALSE,0.9,POLITICS/GOVERNMENT; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/117692142,FALSE,TRUE,FALSE,FALSE,FALSE,10/15/66,NA,Ford's Theatre and the Petersen House where Lincoln Died,Ford's Theatre,66000034,"10th St., NW., between E and F Sts., Washington, DISTRICT OF COLUMBIA",38.896745240268,-77.026005581499
74002162,NA,Howard Theatre,DISTRICT OF COLUMBIA,District of Columbia,Washington,"620 T St., NW.",Listed,Single,FALSE,0.3,PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/117692227,FALSE,TRUE,FALSE,TRUE,FALSE,2/15/74,NA,NA,NA,74002162,"620 T St., NW., Washington, DISTRICT OF COLUMBIA",38.915287791246,-77.021098061009
93001129,NA,Lincoln Theatre,DISTRICT OF COLUMBIA,District of Columbia,Washington,1215 U St. NW,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; BLACK; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/117692273,FALSE,FALSE,TRUE,FALSE,FALSE,10/27/93,NA,NA,NA,93001129,"1215 U St. NW, Washington, DISTRICT OF COLUMBIA",38.917405059988,-77.028988449382
90001548,NA,Lisner Auditorium,DISTRICT OF COLUMBIA,District of Columbia,Washington,"730 21st St., NW.",Listed,Single,FALSE,0.4,ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/117692279,FALSE,FALSE,FALSE,TRUE,FALSE,10/25/90,NA,George Washington University Auditorium,NA,90001548,"730 21st St., NW., Washington, DISTRICT OF COLUMBIA",38.899305010633,-77.047107022743
07000592,NA,Newton Theater,DISTRICT OF COLUMBIA,District of Columbia,Washington,3601-3611 12th St. NE,Listed,Single,FALSE,0.4,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/117692373,FALSE,FALSE,FALSE,TRUE,FALSE,6/27/07,NA,NA,NA,07000592,"3601-3611 12th St. NE, Washington, DISTRICT OF COLUMBIA",38.933820723991,-76.990833942308
04000117,NA,Plymouth Theater,DISTRICT OF COLUMBIA,District of Columbia,Washington,"1365 H St., NE",Listed,Single,FALSE,0.9,ARCHITECTURE; TRANSPORTATION; BLACK; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/117692419,FALSE,FALSE,TRUE,FALSE,FALSE,3/3/04,NA,Mott Motors; H Street Playhouse,NA,04000117,"1365 H St., NE, Washington, DISTRICT OF COLUMBIA",38.899942747736,-76.986171005753
86003071,NA,Southern Aid Society-Dunbar Theater Building,DISTRICT OF COLUMBIA,District of Columbia,Washington,1901--1903 Seventh St. NW,Listed,Single,FALSE,0.1,COMMERCE; ENTERTAINMENT/RECREATION; BLACK; ARCHITECTURE; SOCIAL HISTORY,BUILDING,https://catalog.archives.gov/id/117692482,FALSE,FALSE,TRUE,FALSE,FALSE,11/6/86,NA,NA,NA,86003071,"1901--1903 Seventh St. NW, Washington, DISTRICT OF COLUMBIA",38.915781527253,-77.021734163641
08001093,NA,Strand Theater,DISTRICT OF COLUMBIA,District of Columbia,"Washington, DC.",5129-5131 Nannie Helen Burroughs Ave. NE.,Listed,Single,FALSE,0.9,SOCIAL HISTORY; BLACK; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/117692510,FALSE,FALSE,FALSE,TRUE,FALSE,11/25/08,NA,Deanwood,NA,08001093,"5129-5131 Nannie Helen Burroughs Ave. NE., Washington, DC., DISTRICT OF COLUMBIA",38.898088628844,-76.926034873783
85000716,NA,Tivoli Theater,DISTRICT OF COLUMBIA,District of Columbia,Washington,3301-3325 14th St. NW,Listed,Single,FALSE,0.6,ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/117692540,FALSE,FALSE,TRUE,FALSE,FALSE,4/10/85,NA,NA,NA,85000716,"3301-3325 14th St. NW, Washington, DISTRICT OF COLUMBIA",38.930869623521,-77.032441374395
100008461,SG,Uptown Theatre,DISTRICT OF COLUMBIA,District of Columbia,Washington,3426 Connecticut Ave. NW,Listed,Single,FALSE,0.34,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,12/15/22,NA,Cineplex-Odeon Uptown; AMC-Loews Uptown,NA,100008461,"3426 Connecticut Ave. NW, Washington, DISTRICT OF COLUMBIA",38.934891889307,-77.058586458237
91001541,NA,Aladdin Theater,FLORIDA,Brevard,Cocoa,300 Brevard Ave.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77842103,FALSE,FALSE,FALSE,TRUE,FALSE,10/17/91,NA,Cocoa Village Playhouse;8BR282,NA,91001541,"300 Brevard Ave., Cocoa, FLORIDA",28.355305836701,-80.725985095243
99001636,NA,Operations and Checkout Building,FLORIDA,Brevard,Kennedy Space Center,"NASA, John F. Kennedy Space Center",Listed,Multiple,FALSE,7.3,ENGINEERING; ARCHITECTURE; OTHER,BUILDING,https://catalog.archives.gov/id/77840982,FALSE,TRUE,FALSE,FALSE,FALSE,1/21/00,NA,Manned Spacecraft Operations Building (MSOB); 8BR1693,NA,99001636,"NASA, John F. Kennedy Space Center, Kennedy Space Center, FLORIDA",28.580561,-80.648953
82001034,NA,Florida Theater,FLORIDA,Duval,Jacksonville,128-134 E. Forsyth St.,Listed,Single,FALSE,0.9,COMMERCE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/77842331,FALSE,FALSE,FALSE,TRUE,FALSE,11/4/82,NA,NA,NA,82001034,"128-134 E. Forsyth St., Jacksonville, FLORIDA",30.326620792191,-81.656090692457
91000895,NA,Little Theatre,FLORIDA,Duval,Jacksonville,2032 San Marco Blvd.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/77842343,FALSE,FALSE,FALSE,TRUE,FALSE,7/12/91,NA,Theatre Jacksonville;8Du5809,NA,91000895,"2032 San Marco Blvd., Jacksonville, FLORIDA",30.303526637286,-81.653318880896
76000596,NA,Saenger Theatre,FLORIDA,Escambia,Pensacola,118 S. Palafox St.,Listed,Single,FALSE,0.9,ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/77842399,FALSE,FALSE,FALSE,TRUE,FALSE,7/19/76,NA,NA,NA,76000596,"118 S. Palafox St., Pensacola, FLORIDA",30.411175640727,-87.214954001134
