Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID,Address,latitude,longitude,state,LHAT_member
78000687,NA,Million Dollar Theater,CALIFORNIA,Los Angeles,Los Angeles,307 S. Broadway,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123859321,FALSE,FALSE,TRUE,FALSE,FALSE,7/20/78,NA,Edison Building,NA,78000687,"307 S. Broadway, Los Angeles, CALIFORNIA",34.050866921456,-118.24845945381,CA,FALSE
97001660,NA,Padua Hills Theatre,CALIFORNIA,Los Angeles,Claremont,4467 Via Padova,Listed,Single,FALSE,6.6,PERFORMING ARTS; HISPANIC; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123859380,FALSE,FALSE,FALSE,TRUE,FALSE,1/23/98,NA,NA,NA,97001660,"4467 Via Padova, Claremont, CALIFORNIA",34.150314011681,-117.701329969662,CA,FALSE
82002201,NA,Pomona Fox Theater,CALIFORNIA,Los Angeles,Pomona,102--144 3rd St.,Listed,Single,FALSE,0.5,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123859426,FALSE,FALSE,FALSE,TRUE,FALSE,2/19/82,NA,Fox,NA,82002201,"102--144 3rd St., Pomona, CALIFORNIA",34.05684836145,-117.750905106467,CA,FALSE
78000700,NA,Rialto Theatre,CALIFORNIA,Los Angeles,South Pasadena,1019--1023 Fair Oaks Ave.,Listed,Single,FALSE,0.3,ART; ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123859453,FALSE,FALSE,FALSE,TRUE,FALSE,5/24/78,NA,NA,NA,78000700,"1019--1023 Fair Oaks Ave., South Pasadena, CALIFORNIA",34.114534013958,-118.150513981539,CA,FALSE
98001633,NA,Warner Brothers Theatre,CALIFORNIA,Los Angeles,San Pedro,478 W. 6th St.,Listed,Single,FALSE,0.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123859605,FALSE,FALSE,FALSE,TRUE,FALSE,1/21/99,NA,Warner Bros. San Pedro Theatre; Warner Grand Theater,NA,98001633,"478 W. 6th St., San Pedro, CALIFORNIA",33.738868848299,-118.287423401274,CA,FALSE
09001200,NA,Westlake Theatre,CALIFORNIA,Los Angeles,Los Angeles,634-642 S. Alvarado St.,Listed,Single,FALSE,0.9,ARCHITECTURE,building,https://catalog.archives.gov/id/123859617,FALSE,FALSE,FALSE,TRUE,FALSE,1/7/10,NA,Westlake Theatre Building,NA,09001200,"634-642 S. Alvarado St., Los Angeles, CALIFORNIA",34.058037052889,-118.27553015122,CA,FALSE
14001234,NA,Mount Tamalpais Mountain Theater,CALIFORNIA,Marin,Mill Valley,3801 Panoramic Hwy.,Listed,Multiple,FALSE,5,LANDSCAPE ARCHITECTURE; ENTERTAINMENT/RECREATION; POLITICS/GOVERNMENT,STRUCTURE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2/2/15,NA,Sydney B. Cushing Amphitheater; Facility Number D3082001,NA,14001234,"3801 Panoramic Hwy., Mill Valley, CALIFORNIA",37.903724260583,-122.603752502521,CA,FALSE
09000248,NA,Merced Theatre,CALIFORNIA,Merced,Merced,301 W. 17th St.,Listed,Single,FALSE,0.5,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,https://catalog.archives.gov/id/123859855,FALSE,FALSE,FALSE,TRUE,FALSE,5/1/09,NA,New Merced Theatre,NA,09000248,"301 W. 17th St., Merced, CALIFORNIA",39.718516902155,-121.828413946377,CA,FALSE
100007227,SG,Strand Theater,CALIFORNIA,Merced,Merced,655-661 West Main St.,Listed,Single,FALSE,0.9,ARCHITECTURE,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,12/7/21,NA,Mainzer Theater; Mainzer-Strand Theater; Old Strand Theater; Santa Fe Bus Depot (655 West Main Street),NA,100007227,"655-661 West Main St., Merced, CALIFORNIA",37.302724033269,-120.485938685241,CA,FALSE
73000417,NA,Nevada Theatre,CALIFORNIA,Nevada,Nevada City,Broad and Bridge Sts.,Listed,Single,FALSE,0.2,ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123860148,FALSE,FALSE,TRUE,FALSE,FALSE,3/14/73,NA,The Cedar Theatre,NA,73000417,"Broad and Bridge Sts., Nevada City, CALIFORNIA",39.262888794422,-121.019876981629,CA,FALSE
