"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price"
"Dollar General Corporate Headquarters",NA,"Tennessee","Davidson",36.3090261,-86.699065,452700
"MACY'S","Cincinnati","Ohio","Hamilton",39.1031182,-84.5120196,283180
"U.S. BANCORP","Minneapolis","Minnesota","Hennepin",44.977753,-93.2650108,407520
"Mondelez International",NA,"Illinois","Lake",42.1711365,-87.8445119,392350
"Kraft Heinz Innovation Center",NA,"Pennsylvania","Allegheny",40.6592545,-80.100283,254090
"Raytheon Company",NA,"Massachusetts","Middlesex",42.6378861,-71.2451602,793120
"PBF Energy",NA,"New Jersey","Morris",40.8474943,-74.4546895,677650
"INTL FCStone","New York","New York","New York",40.7552112,-73.9801333,1172110
"Northwestern Mutual","Milwaukee","Wisconsin","Milwaukee",43.040905,-87.901114,270080
"Philip Morris International Inc","New York","New York","New York",40.7518892,-73.9782981,1172110
"Arrow Electronics","Centennial","Colorado","Arapahoe",39.5814958,-104.8822406,593960
"Northrop Grumman","Falls Church","Virginia","Fairfax",38.8671114,-77.2148893,782680
"Rite Aid",NA,"Pennsylvania",NA,40.2401756,-76.9353966,NA
"TRAVELERS  New York",NA,"New York","Suffolk",40.7736489,-73.4157247,663980
"Micron Technology","Boise","Idaho","Ada",43.6150186,-116.2023137,556040
"Twenty-First Century Fox","New York","New York","New York",40.7127753,-74.0059728,1172110
"Abbott Laboratories",NA,"Illinois","Lake",42.3008372,-87.8944668,392350
"Hewlett Packard Enterprise","Palo Alto","California","Santa Clara",37.4418834,-122.1430195,1558540
"USAA","San Antonio","Texas","Bexar",29.4241219,-98.4936282,289900
"Coca-Cola","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220
"Progressive",NA,"Ohio","Cuyahoga",41.5519952,-81.4392828,225250
"Capital One Financial",NA,"Virginia","Fairfax",38.9338676,-77.1772604,782680
"CHS",NA,"Minnesota","Dakota",44.8480218,-93.0427153,400830
"ABBVIE",NA,"Illinois","Lake",42.325578,-87.8411818,392350
"3M","Saint Paul","Minnesota","Ramsey",44.9537029,-93.0899578,343940
"Plains GP holdings","Houston","Texas","Harris",29.7604267,-95.3698028,306470
"Exelon","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630
"General Dynamics","Falls Church","Virginia",NA,38.882334,-77.1710914,NA
"Publix Super Markets","Lakeland","Florida","Polk",28.0394654,-81.9498042,302500
"NIKE","Beaverton","Oregon","Washington",45.4888761,-122.8013771,621730
"Enterprise Products Partners","Houston","Texas","Harris",29.7604267,-95.3698028,306470
"Tech Data","Clearwater","Florida","Pinellas",27.9658533,-82.8001026,400470
"DEERE","Moline","Illinois","Rock Island",41.5067003,-90.5151342,161500
"ConocoPhillips","Houston","Texas","Harris",29.7604267,-95.3698028,306470
"TJX","Framingham","Massachusetts","Middlesex",42.279286,-71.4161565,793120
"Massachusetts Mutual Life Insurance","Springfield","Massachusetts","Hampden",42.1014831,-72.589811,344760
"World Fuel Services","Miami","Florida","Miami-Dade",25.7616798,-80.1917902,555610
"ALLSTATE",NA,"Illinois","Cook",42.1275267,-87.8289548,357630
"Oracle ","Redwood City","California","San Mateo",37.4852152,-122.2363548,1601600
"Tyson Foods","Springdale","Arkansas","Washington",36.1867442,-94.1288141,363520
"TIAA","New York","New York","New York",40.7127753,-74.0059728,1172110
"United Continental Holdings","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630
"Honeywell International",NA,"New Jersey","Morris",40.8395922,-74.4818698,677650
"Merck Kenilworth",NA,"New Jersey","Union",40.6764911,-74.2907032,647330
"Liberty Mutual Insurance Group","Boston","Massachusetts","Suffolk",42.3600825,-71.0588801,739680
"Best Buy",NA,"Minnesota","Hennepin",44.8832982,-93.2830021,407520
"Nationwide","Columbus","Ohio","Franklin",39.9611755,-82.9987942,327270
"American Express","New York","New York","New York",40.7127753,-74.0059728,1172110
"New York Life Insurance","New York","New York","New York",40.7127753,-74.0059728,1172110
"Charter Communications","Stamford","Connecticut","Western Connecticut Planning Region",41.0534302,-73.5387341,NA
"Delta Air Lines","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220
"American Airlines Group","Fort Worth","Texas","Tarrant",32.7554883,-97.3307658,350700
"HCA Healthcare","Nashville","Tennessee","Davidson",36.1626638,-86.7816016,452700
"AIG","New York","New York","New York",40.7127753,-74.0059728,1172110
"Cigna",NA,"Connecticut","Capitol Planning Region",41.826488,-72.7300945,NA
"CISCO Systems","San Jose","California","Santa Clara",37.3382082,-121.8863286,1558540
"Morgan Stanley ","New York","New York","New York",40.7599978,-73.9854317,1172110
"Goldman Sachs Group","New York","New York","New York",40.7127753,-74.0059728,1172110
"Pfizer","New York","New York","New York",40.7127753,-74.0059728,1172110
"Lockheed Martin","Bethesda","Maryland","Montgomery",38.984652,-77.0947092,680160
"Energy Transfer","Dallas","Texas","Dallas",32.7766642,-96.7969879,329370
"Caterpillar",NA,"Illinois","Lake",42.1711365,-87.8445119,392350
"Facebook",NA,"California","San Mateo",37.4529598,-122.1817252,1601600
"Humana","Louisville","Kentucky","Jefferson",38.2526647,-85.7584557,266760
"HP","Palo Alto","California","Santa Clara",37.4418834,-122.1430195,1558540
"SYSCO","Houston","Texas","Harris",29.7604267,-95.3698028,306470
"Albertsons","Boise","Idaho","Ada",43.6150186,-116.2023137,556040
"Centene","Saint Louis","Missouri",NA,38.6270025,-90.1994042,NA
"Prudential Financial","Newark","New Jersey","Essex",40.7335424,-74.1710255,612980
"Archer Daniels Midland","Chicago","Illinois","Cook",41.8781136,-87.6297982,357630
"Pepsico","New York","New York","New York",40.7127753,-74.0059728,1172110
"Fedex","Memphis","Tennessee","Shelby",35.1495343,-90.0489801,292520
"United Technologies",NA,"Connecticut","Capitol Planning Region",41.7360305,-72.795027,NA
"Procter and Gamble","Cincinnati","Ohio","Hamilton",39.1031182,-84.5120196,283180
"MetLife","New York","New York","New York",40.7127753,-74.0059728,1172110
"INTEL","Santa Clara","California","Santa Clara",37.3541079,-121.9552356,1558540
"Lowes",NA,"North Carolina","Iredell",35.5859146,-80.8081413,376430
"United Parcel Service","Atlanta","Georgia","Fulton",33.7489954,-84.3879824,514220
