"Electric.Power.Plant.Name","Operating.Utility.Name","City","State","Primary.Energy.Source","Maximum.Summer.Capacity..Megawatts.","Longitude","Latitude"
"Church Hill Road Augusta Solar, LLC","REA Investments, LLC","Augusta","Maine","solar",3.8,-69.703847,44.370724
"Houlton Road Solar Farm (CSG)","REA Investments, LLC","Fort Fairfield","Maine","solar",2,-67.86867,46.75638
"Blue Skies Solar, LLC","Blue Skies Solar, LLC","Arvin","California","solar",1,-118.908812,34.98809
"Clovis High School","Tesla Inc.","Clovis","California","solar",1,-119.681918,36.817101
"Clovis East High School","Tesla Inc.","Clovis","California","solar",1,-119.640598,36.799669
"Clovis North High School","Tesla Inc.","Fresno","California","solar",1,-119.736674,36.890115
"Eiffel Solar Project","Paris Farm Solar, LLC","Paris","Texas","solar",240,-95.525056,33.599167
"San Manuel Central Plant Cogens","San Manuel Mission Band of Indians","Highland","California","natural gas",5,-117.23025,34.151193
"LSE Pavo Solar","Inovateus Solar, LLC","Walton","New York","solar",2.3,-75.045106,42.157714
"MA Blackstone","Catalyze Blackstone 83 Federal Street Microgrid, LLC","Blackstone","Massachusetts","solar",7.2,-71.528503,42.026499
"CA Jurupa Valley 3251 De Forest Circle","Catalyze Mira Loma 3251 De Forest Circle Microgrid LLC","Jurupa Valley","California","solar",4.5,-117.521139,34.026711
"USS Martha Solar (CSG)","United States Solar Corporation","Hamburg","Minnesota","solar",1,-93.960129,44.728051
"Pivot Energy Minnesota Solar 10","Pivot Energy","Greenwald","Minnesota","solar",1,-94.862833,45.598748
"Pivot Energy Minnesota Solar 1","Pivot Energy","Clinton Falls","Minnesota","solar",1,-93.277146,44.125941
"Union Vale","Altus Power America Management, LLC","Lagrangeville","New York","solar",1.7,-73.742,41.661
"Ghent (NY)","Altus Power America Management, LLC","Ghent","New York","solar",3.3,-73.709201,42.277433
"Stanford","Altus Power America Management, LLC","Stanfordville","New York","solar",5,-73.703,41.865
"Gloucester","Altus Power America Management, LLC","Gloucester City","New Jersey","solar",2.4,-75.109,39.886
"Ramapo","Altus Power America Management, LLC","Mahwah","New Jersey","solar",4.2,-74.174,41.081
"Moyer Solar","Moyer Solar, LLC","Stoneville","North Carolina","solar",5,-79.907098,36.419826
"Davis Solar","Generate Capital","Goshen","New York","solar",4,-74.36029,41.42453
"Genesee - CCR Solar","Generate Capital","Hilton","New York","solar",3.7,-77.78582,43.31085
"Bullitt Farm Solar","Generate Capital","Marcy","New York","solar",5,-75.26312,43.19567
