Post number,Subject,Body,Attachment link,Location,Latitude,Longitude,Post color,Created At (UTC),Updated At (UTC)
43,"357. National Oilwell Varco, Cypress Creek Road, Cedar Park, TX, USA","",http://www.nov.com/,"National Oilwell Varco, Cypress Creek Road, Cedar Park, TX, USA",30.4899915,-97.82765610000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
44,"382. Auto-Owners Insurance, Anacapri Drive, Lansing, MI, USA","",http://www.auto-owners.com/,"Auto-Owners Insurance, Anacapri Drive, Lansing, MI, USA",42.7218607,-84.63845750000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
45,"381. Erie Insurance Arena, French Street, Erie, PA, USA","",http://www.erieinsurance.com/,"Erie Insurance Arena, French Street, Erie, PA, USA",42.1280011,-80.08088889999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
46,356. Jones Financial (Edward Jones),"Des Peres, MO, USA
",http://www.edwardjones.com/,"Des Peres, MO, USA",38.6008862,-90.43289679999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
47,"380. Liberty Media Corporation, Liberty Boulevard, Englewood, CO, USA","",http://www.libertymedia.com/,"Liberty Media Corporation, Liberty Boulevard, Englewood, CO, USA",39.553121,-104.84617700000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
48,355. Frontier Communications,"",http://www.frontier.com/,"Norwalk, CT, USA",41.11774399999999,-73.40815750000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
49,"500. Levi's Store, San Francisco, CA, USA","",http://www.levistrauss.com/,"Levi's Store Market Street, Market Street, San Francisco, CA, USA",37.7852456,-122.40613450000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
50,"354. J.B. Hunt Transport Services, Inc., J B Hunt Corporate Drive, Lowell, AR, USA","",http://www.jbhunt.com/,"J.B. Hunt Transport Services, Inc., J B Hunt Corporate Drive, Lowell, AR, USA",36.2447313,-94.14944379999997,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
51,"499. Peabody Energy, St. Louis, MO, USA","",http://www.peabodyenergy.com/,"Peabody Energy, Market Street, St. Louis, MO, USA",38.626689,-90.19256510000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
52,"498. Western Union,Denver, CO, USA","",http://www.westernunion.com/,"Western Union, East Colfax Avenue, Denver, CO, USA",39.7402176,-104.97594950000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
53,353. UNIVAR,"Downers Grove, Ill, USA
",http://www.univarsolutions.com/,"Downers Grove, Ill, USA",41.8089191,-88.0111746,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
54,352. WESTLAKE CHEMICAL,"Houston, Texas, USA
",http://www.westlake.com/,"Houston, Texas, USA",29.7604267,-95.3698028,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
55,351. Thrivent Financial for Lutherans,"Minneapolis, Minn, USA
",http://www.thrivent.com/,"Minneapolis, Minn, USA",44.977753,-93.26501080000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
56,350. Rockwell Collins,"",http://www.collinsaerospace.com/,"West Palm Beach, FL, USA",26.7153424,-80.05337459999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
57,"349. Campbell Soup Company, Campbell Place, Camden, NJ, USA","",http://www.campbellsoupcompany.com/,"Campbell Soup Company, Campbell Place, Camden, NJ, USA",39.9390315,-75.1080212,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
58,348. WILLIAMS,"Tulsa, Okla, USA
",http://www.williams.com/,"Tulsa, Okla, USA",36.15398159999999,-95.992775,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
59,"347. Veritiv Corporation, Governors Lake Parkway, Norcross, GA, USA","",http://www.veritivcorp.com/,"Veritiv Corporation, Governors Lake Parkway, Norcross, GA, USA",33.92977500000001,-84.25124829999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
60,346. GameStop,"Grapevine, Texas, USA
",http://www.gamestop.com/,"Grapevine, Texas, USA",32.9342919,-97.07806540000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
61,"497. Navient, Wilmington, DE, USA","",http://www.navient.com/,"Navient, Justison Street, Wilmington, DE, USA",39.7382681,-75.55915199999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
62,"496. Simon Property Group, East Washington Street, Indianapolis, IN, USA","",http://www.simon.com/,"Simon Property Group, East Washington Street, Indianapolis, IN, USA",39.7669989,-86.16216810000003,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
63,"495. Williams-Sonoma, Post Street, San Francisco, CA, USA","",http://www.williams-sonomainc.com/,"Williams-Sonoma, Post Street, San Francisco, CA, USA",37.7886383,-122.40749840000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
64,"494. Yum Brands, Louisville, KY, USA","",http://www.yum.com/,"Louisville, KY, USA",38.25266469999999,-85.75845570000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
65,"493. Windstream Holdings Little Rock, AR, USA","",http://www.windstream.com/,"Little Rock, AR, USA",34.7464809,-92.28959479999997,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
66,345. Hilton Worldwide Holdings,"McLean, VA, USA
",http://www.hilton.com/,"McLean, VA, USA",38.93386760000001,-77.17726040000002,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
67,"492. Harley-Davidson Museum, West Canal Street, Milwaukee, WI, USA","",http://www.harley-davidson.com/,"Harley-Davidson Museum, West Canal Street, Milwaukee, WI, USA",43.0316706,-87.91652440000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
68,"491. First American Financial, Santa Ana, CA, USA","",http://www.firstam.com/,"First American Financial, First American Way, Santa Ana, CA, USA",33.702007,-117.860141,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
69,344. Air Products & Chemicals,"Allentown, PA, USA
",http://www.airproducts.com/,"Allentown, PA, USA",40.6022939,-75.4714098,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
70,"489. TreeHouse Foods, Inc., Spring Road, Oak Brook, IL, USA","","","TreeHouse Foods, Inc., Spring Road, Oak Brook, IL, USA",41.8494532,-87.94730670000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
71,"488. Fiserv, Inc., Fiserv Drive, Brookfield, WI, USA","",http://www.fiserv.com/,"Fiserv, Inc., Fiserv Drive, Brookfield, WI, USA",43.0338095,-88.1409438,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
72,"487. Zoetis Inc., Sylvan Way, Parsippany, New Jersey, USA","",http://www.zoetis.com/,"Zoetis Inc., Sylvan Way, Parsippany, New Jersey, USA",40.8470715,-74.44477719999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
73,342. Brighthouse Financial,"Charlotte, N.C., USA
",http://www.brighthousefinancial.com/,"Charlotte, N.C., USA",35.2270869,-80.84312669999997,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
74,"486. Ingredion, Westchester, IL, USA","",http://www.ingredion.com/,"Ingredion, Westbrook Corporate Center, Westchester, IL, USA",41.8453955,-87.90528560000001,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
75,"485. ON Semiconductor, Phoenix, AZ, USA","",http://www.onsemi.com/,"ON Semiconductor, East McDowell Road, Phoenix, AZ, USA",33.4636186,-111.9701255,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
76,"","New York, N.Y., USA
",http://www.newscorp.com/,"New York, N.Y., USA",40.7127753,-74.0059728,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
77,"484. Tapestry, New York, NY, USA","",http://www.tapestry.com/,"New York, NY, USA",40.7127753,-74.0059728,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
78,340. Peter Kiewit Sons’,"Omaha, Neb, USA
",http://www.kiewit.com/,"Omaha, Neb, USA",41.2565369,-95.93450339999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
79,"483. NetApp, Sunnyvale, CA, USA","",http://www.netapp.com/,"NetApp, Crossman Avenue, Sunnyvale, CA, USA",37.4149198,-122.0095976,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
80,"482. Intuit, Mountain View, CA, USA","",http://www.intuit.com/,"Intuit Building 20, Marine Way, Mountain View, CA, USA",37.42836249999999,-122.097623,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
81,"481. Old Republic International Corporation, Michigan Avenue, Chicago, IL, USA","",http://www.oldrepublic.com/,"Old Republic International Corporation, Michigan Avenue, Chicago, IL, USA",41.887068,-87.6241579,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
82,"480. Graphic Packaging International, Atlanta, GA, USA","","","Graphic Packaging International, Mike Padgett Highway, Augusta, GA, USA",33.327532,-81.95409699999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
83,"338. AVIS, Parsippany, NJ, USA","http://www.avisbudgetgroup.com/http://www.avisbudgetgroup.com/
",http://www.avisbudgetgroup.com/,"Parsippany Boulevard, Parsippany, NJ, USA",40.867239,-74.42294170000002,White,"Sep 16, 2019 09:25am","Sep 20, 2019 06:01am"
84,"337. Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA","",http://www.vistraenergy.com/,"Vistra/TXU Energy Corporate Office, Sierra Drive, Irving, TX, USA",32.898375,-96.96423759999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
85,"479. Hd Supply Holdings Inc,  Atlanta, GA, USA","",http://www.hdsupply.com/,"Hd Supply Holdings Inc, Cumberland Parkway Southeast, Atlanta, GA, USA",33.8772177,-84.4728859,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
86,"478. Realogy Holdings Corp., Park Avenue, Madison, NJ, USA","",http://www.realogy.com/,"Realogy Holdings Corp., Park Avenue, Madison, NJ, USA",40.7716197,-74.42318549999999,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
87,"477. Clorox Co, Broadway, Oakland, CA, USA","",http://www.thecloroxcompany.com/,"Clorox Co, Broadway, Oakland, CA, USA",37.80358210000001,-122.27211649999998,White,"Sep 16, 2019 09:25am","Sep 16, 2019 09:48am"
