"Company","City","State","County","Latitude","Longitude"
"Bank of America","Charlotte","North Carolina","Mecklenburg",35.2270869,-80.8431267
"Valero Technology","San Antonio","Texas","Bexar",29.4241219,-98.4936282
"Phillips","Houston","Texas","Harris",29.7604267,-95.3698028
"Fannie Mae","Washington","District of Columbia",NA,38.9071923,-77.0368707
"General Electric","Boston","Massachusetts","Suffolk",42.3600825,-71.0588801
"Kroger","Cincinnati","Ohio","Hamilton",39.1031182,-84.5120196
"Verizon Communication","New York","New York","New York",40.7127753,-74.0059728
"JP Morgan","New York","New York","New York",40.7127753,-74.0059728
"Walgreens Boots Alliance",NA,"Illinois","Lake",42.1711365,-87.8445119
"Cardinal Health","Dublin","Ohio","Franklin",40.0992294,-83.1140771
"Alphabet","Mountain View","California","Santa Clara",37.3860517,-122.0838511
"Costco Wholesale",NA,"Washington","King",47.5301011,-122.0326191
"General Motors","Detroit","Michigan","Wayne",42.331427,-83.0457538
"Exxon Mobil","Irving","Texas","Dallas",32.8140177,-96.9488945
"McKesson","Irving","Texas","Dallas",32.8140177,-96.9488945
"Ford Motor",NA,"Michigan","Wayne",42.3222599,-83.1763145
"Chevron",NA,"California","Contra Costa",37.7799273,-121.9780153
"Amerisource Bergen Drug Corporation Chesterbrook","Tredyffrin Township","Pennsylvania","Chester",40.0686079,-75.4683046
"AT&T  ","Dallas","Texas","Dallas",32.8687682,-96.7692323
"CVS Health ","Woonsocket","Rhode Island","Providence",41.9914346,-71.4889544
"UnitedHealth Group",NA,"Minnesota","Hennepin",44.9211836,-93.4687489
"Amazon","Seattle","Washington","King",47.6062095,-122.3320708
"Berkshire Hathaway INC.","Omaha","Nebraska","Douglas",41.2565369,-95.9345034
"Apple","Cupertino","California","Santa Clara",37.3229978,-122.0321823
"Walmart","Bentonville","Arkansas","Benton",36.3728538,-94.2088172
