"","ref_number","prefix","property_name","status","request_type","restricted_address","acreage_of_property","area_of_significance","category_of_property","state","county","city","street_number","external_link","listed_date","nhl_designated_date","other_names","park_name","property_id","district_name_lower","address","latitude","longitude"
"100","68000032","AD","Barrio de Analco Historic District (Additional Documentation)","Listed","Add.Doc.",FALSE,18,"ARCHITECTURE","DISTRICT","NEW MEXICO","Santa Fe","Santa Fe","Roughly bounded by E. De Vargas and College Sts.","https://catalog.archives.gov/id/77847010","11/24/68","11/24/68",NA,NA,"68000032","barrio de analco (additional documentation)","Barrio de Analco Historic District (Additional Documentation) Santa Fe NEW MEXICO",35.68698,-105.9378
"101","02000726",NA,"Fort Bayard Historic District","Listed","Single",FALSE,704,"MILITARY; EXPLORATION/SETTLEMENT; HEALTH/MEDICINE; ARCHITECTURE","DISTRICT","NEW MEXICO","Grant","Santa Clara","0.5 mi. N of jct. of US 180 and NM 152","https://catalog.archives.gov/id/77847308","7/7/02","4/19/04",NA,NA,"02000726","fort bayard","Fort Bayard Historic District Grant NEW MEXICO",32.79611,-108.14972
"102","67000007",NA,"Las Trampas Historic District","Listed","Single",FALSE,1000,"COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE","DISTRICT","NEW MEXICO","Taos","Las Trampas","On NM 76","https://catalog.archives.gov/id/77847036","5/28/67","5/28/67",NA,NA,"67000007","las trampas","Las Trampas Historic District Taos NEW MEXICO",36.13553546972,-105.693381436559
"103","66000477",NA,"Lincoln Historic District","Listed","Single",FALSE,2348,"POLITICS/GOVERNMENT; AGRICULTURE","DISTRICT","NEW MEXICO","Lincoln","Lincoln","U.S. 380","https://catalog.archives.gov/id/77846986","10/15/66","12/19/60",NA,NA,"66000477","lincoln","Lincoln Historic District Lincoln NEW MEXICO",33.49203,-105.38387
"104","82001275",NA,"Boston Post Road Historic District","Listed","Single",FALSE,300,"PREHISTORIC; ARCHITECTURE; CONSERVATION","DISTRICT","NEW YORK","Westchester","Rye","Roughly bounded by Boston Post Rd. and Milton Harbor","https://catalog.archives.gov/id/75322965","10/29/82","8/30/93",NA,NA,"82001275","boston post road","Boston Post Road Historic District Westchester NEW YORK",40.894616152913,-73.809307138004
"105","66000524",NA,"Brooklyn Heights Historic District","Listed","Single",FALSE,140,"ARCHITECTURE","DISTRICT","NEW YORK","Kings","New York","Borough of Brooklyn, bounded by Atlantic Ave., Court and Fulton Sts. and the East River","https://catalog.archives.gov/id/75315651","10/15/66","1/29/64","Brooklyn Heights;See Also:Holy Trinity (Protestant Episcopal",NA,"66000524","brooklyn heights","Brooklyn Heights Historic District Kings NEW YORK",40.69583,-73.995
"106","72000910",NA,"Casino-Congress Park-Circular Street Historic District","Listed","Single",FALSE,33,"COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE; SOCIAL HISTORY","DISTRICT","NEW YORK","Saratoga","Saratoga Springs","Bounded by Broadway, Spring, and Circular Sts.","https://catalog.archives.gov/id/75321552","6/19/72","2/27/87","See Also: Canfield Casino and Congress Park",NA,"72000910","casino-congress park-circular street","Casino-Congress Park-Circular Street Historic District Saratoga NEW YORK",43.087827007802,-73.779550664965
"107","73001168",NA,"Chautauqua Institution Historic District","Listed","Single",FALSE,207,"LANDSCAPE ARCHITECTURE; EDUCATION; ARCHITECTURE; RELIGION","DISTRICT","NEW YORK","Chautauqua","Chautauqua","Bounded by Chautauqua Lake, North and Lowell Aves., and NY 17-J","https://catalog.archives.gov/id/75316759","6/19/73","6/29/89","Chatauqua Assembly",NA,"73001168","chautauqua institution","Chautauqua Institution Historic District Chautauqua NEW YORK",42.210684,-79.471833
"108","93001603",NA,"Cobblestone Historic District","Listed","Single",FALSE,0.9,"ARCHITECTURE","DISTRICT","NEW YORK","Orleans","Childs","Ridge Rd. (NY 104), Gaines Township","https://catalog.archives.gov/id/75316014","4/19/93","4/19/93","First Universalist Church;The Ward House;District 5 Schoolho",NA,"93001603","cobblestone","Cobblestone Historic District Orleans NEW YORK",43.198672971074,-78.008335593312
"109","84003181",NA,"Delanson Historic District","Listed","Multiple",FALSE,11,"ARCHITECTURE","DISTRICT","NEW YORK","Schenectady","Delanson","Main St.","https://catalog.archives.gov/id/75314601","10/11/84","1/12/65",NA,NA,"84003181","delanson","Delanson Historic District Schenectady NEW YORK",42.749521,-74.185158
"110","08000659",NA,"Geneseo Historic District","Listed","Single",FALSE,808,"ARCHITECTURE","DISTRICT","NEW YORK","Livingston","Geneseo","Historic core and most fashionable area as well as both Wadsworth Estates; The Homeste and Hartford House","https://catalog.archives.gov/id/75315791","7/17/77","7/17/77","Main Street Historic District;The Homestead;Hartford House",NA,"08000659","geneseo","Geneseo Historic District Livingston NEW YORK",42.733553660012,-77.850373260676
"111","78003151",NA,"Harmony Mill Historic District","Listed","Single",FALSE,120,"INDUSTRY; ARCHITECTURE","DISTRICT","NEW YORK","Albany","Cohoes","Between Mohawk River and RR tracks","https://catalog.archives.gov/id/75316239","1/12/78","1/20/99","See also:Harmony Mill No. 3",NA,"78003151","harmony mill","Harmony Mill Historic District Albany NEW YORK",42.781832323466,-73.706124924685
"112","90002219",NA,"Hudson River Heritage Historic District","Listed","Single",FALSE,0,"EXPLORATION/SETTLEMENT; SOCIAL HISTORY; EUROPEAN; ARCHITECTURE; LANDSCAPE ARCHITECTURE","DISTRICT","NEW YORK","Dutchess","Staatsburg","E. side Hudson R. between Germantown and Staatsburg","https://catalog.archives.gov/id/75315704","12/14/90","12/14/90",NA,NA,"90002219","hudson river heritage","Hudson River Heritage Historic District Dutchess NEW YORK",41.76515,-73.74286
"113","66000578",NA,"Huguenot Street Historic District","Listed","Single",FALSE,9.5,"EXPLORATION/SETTLEMENT; ARCHITECTURE","DISTRICT","NEW YORK","Ulster","New Paltz","Huguenot St.","https://catalog.archives.gov/id/75316095","10/15/66","10/9/60",NA,NA,"66000578","huguenot street","Huguenot Street Historic District Ulster NEW YORK",41.75222,-74.08833
"114","66000577",NA,"Hurley Historic District","Listed","Single",FALSE,25,"MILITARY; EXPLORATION/SETTLEMENT; ARCHITECTURE","DISTRICT","NEW YORK","Ulster","Hurley","Hurley St., Hurley Mountain Rd., and Schoonmaker Lane","https://catalog.archives.gov/id/75316101","10/15/66","11/5/61","Dutch Stone Houses of Hurley Village and Vicinity",NA,"66000577","hurley","Hurley Historic District Ulster NEW YORK",41.97037,-74.11848
"115","77000948",NA,"Main Street Historic District","Listed","Single",FALSE,120,"ARCHITECTURE","DISTRICT","NEW YORK","Livingston","Geneseo","Main St. from the courthouse at Court and North Sts.","https://catalog.archives.gov/id/75318672","7/9/77","7/17/91","Geneseo Historic District;See Also:Main Street Historic Dist",NA,"77000948","main street","Main Street Historic District Livingston NEW YORK",43.2202843,-78.3870481
"116","85000642",NA,"Main Street Historic District (Boundary Increase)","Listed","Single",FALSE,555,"ARCHITECTURE","DISTRICT","NEW YORK","Livingston","Geneseo","Roughly bounded by NY 39, Temple Hills Cemetery, South St. and Main","https://catalog.archives.gov/id/75318674","3/21/85","7/17/91","Geneseo Historic District;See Also:Main Street Historic Dist",NA,"85000642","main street (boundary increase)","Main Street Historic District (Boundary Increase) Livingston NEW YORK",42.191261046079,-74.778215425107
"117","93001621",NA,"Mohawk Upper Castle Historic District","Listed","Single",TRUE,51.5,"HISTORIC - ABORIGINAL","DISTRICT","NEW YORK","Herkimer","Danube","Address Restricted",NA,"11/4/93","11/4/93","Nowadaga;Canajoharie;Indian Castle;Brant Homestead;Indian Ca",NA,"93001621","mohawk upper castle","Mohawk Upper Castle Historic District Herkimer NEW YORK",43.003799,-74.7778285
"118","66000556",NA,"Old Fort Niagara-Colonial Niagara Historic District","Listed","Single",FALSE,25,"HISTORIC - NON-ABORIGINAL; MILITARY; EXPLORATION/SETTLEMENT","DISTRICT","NEW YORK","Niagara","Youngstown","N of Youngstown on NY 18",NA,"10/15/66","10/9/60","Colonial Niagara Historic District",NA,"66000556","old fort niagara-colonial niagara","Old Fort Niagara-Colonial Niagara Historic District Niagara NEW YORK",43.11545,-78.98098
