Ref#,Prefix,Property Name,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,State,County,City ,Street & Number,External Link,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
76001971,,"Lodge, Henry Cabot, House",Listed,Single,FALSE,2, POLITICS/GOVERNMENT,BUILDING,MASSACHUSETTS,Essex,Nahant,5 Cliff St.,https://catalog.archives.gov/id/63793705,12/8/76,12/8/76,,,76001971
66000768,,Long Wharf and Custom House Block,Listed,Single,FALSE,1.5, COMMERCE,STRUCTURE,MASSACHUSETTS,Suffolk,Boston,Foot of State St.,https://catalog.archives.gov/id/63793873,11/13/66,11/13/66,,,66000768
66000049,AD,Longfellow House-Washington’s Headquarters National Historic Site (Additional Documentation),Listed,Add.Doc.,TRUE,1.98, MILITARY; LITERATURE; ARCHITECTURE; CONSERVATION; SOCIAL HISTORY; LANDSCAPE ARCHITECTURE; ARCHEOLOGY-PREHISTORIC; ARCHEOLOGY-HISTORIC NON-ABORIGINAL,district,MASSACHUSETTS,Middlesex,Cambridge,Address Restricted,https://catalog.archives.gov/id/63795983,10/15/66,12/19/62, Vassall House; Castle Craigie; Vassall-Craigie-Longfellow House; Henry W. Longfellow Place; Longfellow National Historic Site,Longfellow,66000049
76001972,,Lowell Locks and Canals Historic District,Listed,Single,FALSE,125, ENGINEERING; INDUSTRY,DISTRICT,MASSACHUSETTS,Middlesex,Lowell,Between Middlesex St. and the Merrimack River,https://catalog.archives.gov/id/63796115,8/13/76,12/22/77, See Also:Belvidere Hill Historic District,Lowell,76001972
88000706,,Lowell's Boat Shop,Listed,Single,FALSE,0.9, INDUSTRY; ARCHITECTURE; MARITIME HISTORY,BUILDING,MASSACHUSETTS,Essex,Amesbury,459 Main St.,https://catalog.archives.gov/id/63795052,6/9/88,6/21/90, Hiram Lowell &amp; Sons,,88000706
83004099,,LUNA (tugboat),Listed,Single,FALSE,0.9, COMMERCE; MILITARY; ENGINEERING; TRANSPORTATION; ARCHITECTURE,STRUCTURE,MASSACHUSETTS,Suffolk,Boston,"NDC Pier, Charles River",https://catalog.archives.gov/id/63796681,10/6/83,4/11/89,,,83004099
100006275,NL,Mary Baker Eddy House,Listed,NHL,FALSE,255, SOCIAL HISTORY; RELIGION,building,MASSACHUSETTS,Essex,Lynn,8 Broad Street,,,1/13/21,,,100006275
100006276,SG,Mary Baker Eddy House,Listed,Single,FALSE,255, SOCIAL HISTORY; RELIGION,building,MASSACHUSETTS,Essex,Lynn,8 Broad Street,,,1/13/21,,,100006275
70000682,,Massachusetts General Hospital,Listed,Single,FALSE,4, SCIENCE; ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,Fruit Street,https://catalog.archives.gov/id/63793865,12/30/70,12/30/70, See Also:Ether Dome,,70000682
66000769,,"Massachusetts Hall, Harvard University",Listed,Single,FALSE,0.9, EDUCATION; EXPLORATION/SETTLEMENT,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,Harvard University Yard,https://catalog.archives.gov/id/63793747,10/15/66,10/9/60,,,66000769
66000770,,Massachusetts Historical Society Building,Listed,Single,FALSE,0.3, EDUCATION,BUILDING,MASSACHUSETTS,Suffolk,Boston,1154 Boylston St.,https://catalog.archives.gov/id/63793877,10/15/66,12/21/65,,,66000770
66000771,,Massachusetts Statehouse,Listed,Single,FALSE,5.8, ARCHITECTURE,BUILDING,MASSACHUSETTS,Suffolk,Boston,Beacon Hill,https://catalog.archives.gov/id/63793833,10/15/66,12/19/60,,,66000771
66000126,,"Melville, Herman, House",Listed,Single,FALSE,44.9, LITERATURE,BUILDING,MASSACHUSETTS,Berkshire,Pittsfield,Holmes Rd.,https://catalog.archives.gov/id/63793641,10/15/66,12/29/62, Arrowhead,,66000126
70000685,,"Memorial Hall, Harvard University",Listed,Single,FALSE,0.5, ARCHITECTURE,BUILDING,MASSACHUSETTS,Middlesex,Cambridge,"Cambridge and Quincy Sts., Harvard University campus",https://catalog.archives.gov/id/63793727,12/30/70,12/30/70,,,70000685
76001976,,"Minot, George R., House",Listed,Single,FALSE,0.9, SCIENCE,BUILDING,MASSACHUSETTS,Norfolk,Brookline,71 Sears Rd.,,1/7/76,1/7/76,,,76001976
