name,institution_type,latitude,longitude
"397. W. R. Berkley Corporation, Steamboat Road, Greenwich, CT, USA",Fortune 500 HQ,41.018681,-73.62232240000003
"396. EnLink Midstream, Routh Street, Dallas, TX, USA",Fortune 500 HQ,32.7920752,-96.7951114
"391. Anixter Glenview, Patriot Boulevard, Glenview, IL, USA",Fortune 500 HQ,42.09746980000001,-87.8239375
"395 Osh Kosh, Oshkosh, WI, USA",Fortune 500 HQ,44.0247062,-88.54261359999998
"394. Builders FirstSource, Bryan Street, Dallas, TX, USA",Fortune 500 HQ,32.78536,-96.796337
363. Ryder System,Fortune 500 HQ,25.7616798,-80.19179020000001
"393. Dean Foods Company, North Haskell Avenue, Dallas, TX, USA",Fortune 500 HQ,32.8055096,-96.79237940000002
"392. PPL, Allentown, PA, USA",Fortune 500 HQ,40.6081366,-75.57044940000003
362. Yum China Holdings,Fortune 500 HQ,33.01984309999999,-96.69888559999998
"391. Hershey, PA, USA",Fortune 500 HQ,40.28592389999999,-76.65024679999999
"390. Alliance Data Systems, Plano, TX, USA",Fortune 500 HQ,33.01984309999999,-96.69888559999998
"389. Berry Global, Oakley Street, Evansville, IN, USA",Fortune 500 HQ,37.9789909,-87.57264350000003
361. Fidelity National Information Services,Fortune 500 HQ,30.3321838,-81.65565099999998
"388. Tractor Supply Company  Brentwood, TN, USA",Fortune 500 HQ,36.0322969,-86.81283719999999
"387. Zimmer Biomet Warsaw, IN, USA",Fortune 500 HQ,41.2405012,-85.88388980000002
"386. Conagra Brands, Chicago, IL, USA",Fortune 500 HQ,41.8781136,-87.62979819999998
"385. Foot Locker, Broadway, New York, NY, USA",Fortune 500 HQ,40.7551834,-73.98631769999997
359. Dick’s Sporting Goods,Fortune 500 HQ,40.5184013,-80.16672470000003
"384. Fifth Third Bank, OH, USA",Fortune 500 HQ,39.16698109999999,-84.4114303
"358. Eversource, Station Drive, Westwood, MA, USA",Fortune 500 HQ,42.2029952,-71.1596834
"383. Cheniere Energy Inc, Milam Street, Houston, TX, USA",Fortune 500 HQ,29.7601536,-95.3653756
"357. National Oilwell Varco, Cypress Creek Road, Cedar Park, TX, USA",Fortune 500 HQ,30.4899915,-97.8276561
"382. Auto-Owners Insurance, Anacapri Drive, Lansing, MI, USA",Fortune 500 HQ,42.7218607,-84.63845750000002
"381. Erie Insurance Arena, French Street, Erie, PA, USA",Fortune 500 HQ,42.1280011,-80.08088889999999
356. Jones Financial (Edward Jones),Fortune 500 HQ,38.6008862,-90.43289679999998
"380. Liberty Media Corporation, Liberty Boulevard, Englewood, CO, USA",Fortune 500 HQ,39.553121,-104.846177
355. Frontier Communications,Fortune 500 HQ,41.11774399999999,-73.40815750000002
"500. Levi's Store, San Francisco, CA, USA",Fortune 500 HQ,37.7852456,-122.4061345
"354. J.B. Hunt Transport Services, Inc., J B Hunt Corporate Drive, Lowell, AR, USA",Fortune 500 HQ,36.2447313,-94.14944379999996
"499. Peabody Energy, St. Louis, MO, USA",Fortune 500 HQ,38.626689,-90.19256510000002
"498. Western Union,Denver, CO, USA",Fortune 500 HQ,39.7402176,-104.9759495
353. UNIVAR,Fortune 500 HQ,41.8089191,-88.0111746
352. WESTLAKE CHEMICAL,Fortune 500 HQ,29.7604267,-95.3698028
351. Thrivent Financial for Lutherans,Fortune 500 HQ,44.977753,-93.26501080000004
350. Rockwell Collins,Fortune 500 HQ,26.7153424,-80.05337459999998
"349. Campbell Soup Company, Campbell Place, Camden, NJ, USA",Fortune 500 HQ,39.9390315,-75.1080212
348. WILLIAMS,Fortune 500 HQ,36.15398159999999,-95.992775
"347. Veritiv Corporation, Governors Lake Parkway, Norcross, GA, USA",Fortune 500 HQ,33.92977500000001,-84.25124829999999
346. GameStop,Fortune 500 HQ,32.9342919,-97.0780654
"497. Navient, Wilmington, DE, USA",Fortune 500 HQ,39.7382681,-75.55915199999998
"496. Simon Property Group, East Washington Street, Indianapolis, IN, USA",Fortune 500 HQ,39.7669989,-86.16216810000003
"495. Williams-Sonoma, Post Street, San Francisco, CA, USA",Fortune 500 HQ,37.7886383,-122.4074984
"494. Yum Brands, Louisville, KY, USA",Fortune 500 HQ,38.25266469999999,-85.75845570000001
"493. Windstream Holdings Little Rock, AR, USA",Fortune 500 HQ,34.7464809,-92.28959479999996
345. Hilton Worldwide Holdings,Fortune 500 HQ,38.93386760000001,-77.17726040000002
