Ref#,Prefix,Property Name,State,County,City,Street & Number,Status,Request Type,Restricted Address,Acreage of Property,Area of Significance,Category of Property,External Link,Level of Significance - International,Level of Significance - National,Level of Significance - State,Level of Significance - Local,Level of Significance - Not Indicated,Listed Date,NHL Designated Date,Other Names,Park Name,Property ID
90000823,NA,Webster Auditorium,ARIZONA,Maricopa,Phoenix,1201 N. Galvin Pkwy.,Listed,Single,FALSE,0.5,CONSERVATION; EDUCATION; SCIENCE,BUILDING,https://catalog.archives.gov/id/75610207,FALSE,TRUE,FALSE,FALSE,FALSE,6/14/90,NA,NA,NA,90000823
03000905,NA,Fox Theatre,ARIZONA,Pima,Tucson,17 W. Congress St.,Listed,Multiple,FALSE,0.8,ARCHITECTURE; COMMUNITY PLANNING AND DEVELOPMENT,BUILDING,https://catalog.archives.gov/id/75608944,FALSE,TRUE,FALSE,FALSE,FALSE,9/12/03,NA,NA,NA,03000905
03000909,NA,Rialto Theatre,ARIZONA,Pima,Tucson,318 E. Congress St.,Listed,Multiple,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75608946,FALSE,FALSE,FALSE,TRUE,FALSE,9/12/03,NA,NA,NA,03000909
99001067,NA,Paramount Theatre,ARIZONA,Pinal,Casa Grande,420 N. Florence St.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/75610604,FALSE,FALSE,FALSE,TRUE,FALSE,9/3/99,NA,Casa Grande 1982 Inventory No. CG-150,NA,99001067
78003226,NA,Elks Building and Theater,ARIZONA,Yavapai,Prescott,117 E. Gurley,Listed,Multiple,FALSE,0,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/75609263,FALSE,FALSE,FALSE,TRUE,FALSE,12/14/78,NA,NA,NA,78003226
86002164,NA,UVX Smelter Operations Complex,ARIZONA,Yavapai,Cottonwood,361 S. Willard,Listed,Multiple,FALSE,1,INDUSTRY,BUILDING,https://catalog.archives.gov/id/75609385,FALSE,FALSE,FALSE,TRUE,FALSE,9/19/86,NA,NA,NA,86002164
82001636,NA,Gandolfo Theater,ARIZONA,Yuma,Yuma,200 S. 1st Ave.,Listed,Multiple,FALSE,0.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/75609489,FALSE,TRUE,FALSE,FALSE,FALSE,12/7/82,NA,NA,NA,82001636
07000965,NA,Crossett Municipal Auditorium,ARKANSAS,Ashley,Crossett,1100 Main St.,Listed,Single,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT; POLITICS/GOVERNMENT; ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/20/07,NA,Site # AS0106,NA,07000965
05000488,NA,Greek Amphitheatre,ARKANSAS,Columbia,Magnolia,"Jct. East Lane Dr., E. University St. & Crescent Dr.",Listed,Single,FALSE,0.9,ARCHITECTURE; POLITICS/GOVERNMENT; PERFORMING ARTS,STRUCTURE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,6/1/05,NA,CO0250,NA,05000488
09001246,NA,Malco Theatre,ARKANSAS,Garland,Hot Springs,817 Central Ave.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,1/21/10,NA,Hot Springs Documentary Film Institute; Site #GA0732,NA,09001246
04000507,NA,Community Theatre,ARKANSAS,Jefferson,Pine Bluff,207 w. 2nd Ave.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,5/26/04,NA,Breckinridge Building; JE0585,NA,04000507
95000348,NA,Saenger Theater,ARKANSAS,Jefferson,Pine Bluff,"Jct. of W. Second Ave. and Pine St., SE corner",Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,3/23/95,NA,JE0550,NA,95000348
07000056,NA,"Robinson, Joseph Taylor, Memorial Auditorium",ARKANSAS,Pulaski,Little Rock,414 W. Markham,Listed,Multiple,FALSE,0.9,SOCIAL HISTORY; ARCHITECTURE,BUILDING,NA,FALSE,FALSE,TRUE,FALSE,FALSE,2/21/07,NA,Robinson Center; PU4546,NA,07000056
03000955,NA,Royal Theatre,ARKANSAS,Saline,Benton,111 S. Market St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/27/03,NA,SA0129,NA,03000955
99001351,NA,New Theatre,ARKANSAS,Sebastian,Fort Smith,9 N. 10th St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,11/18/99,NA,SB0015,NA,99001351
86001888,NA,Rialto Theatre,ARKANSAS,Union,El Dorado,117 E. Cedar St.,Listed,Single,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,TRUE,FALSE,FALSE,8/21/86,NA,NA,NA,86001888
92001101,NA,"Chi Omega Greek Theatre-University of Arkansas, Fayetteville",ARKANSAS,Washington,Fayetteville,Dickson St.,Listed,Multiple,FALSE,0.9,EDUCATION; ARCHITECTURE,STRUCTURE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/4/92,NA,WA0348,NA,92001101
91001265,NA,Beebe Theater,ARKANSAS,White,Beebe,Center St.,Listed,Multiple,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/5/91,NA,Resource #WH1357,NA,91001265
91001231,NA,Rialto Theater,ARKANSAS,White,Searcy,Jct. of Race and Spring Sts.,Listed,Multiple,FALSE,0.9,ARCHITECTURE,BUILDING,NA,FALSE,FALSE,FALSE,TRUE,FALSE,9/13/91,NA,Resource #WH2018,NA,91001231
79000468,NA,Fox-Oakland Theater,CALIFORNIA,Alameda,Oakland,1807--1829 Telegraph Ave.,Listed,Single,FALSE,1.2,COMMERCE; ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123858224,FALSE,FALSE,FALSE,TRUE,FALSE,2/2/79,NA,Fox-Oakland Theater &amp; Complex,NA,79000468
82004644,NA,Hearst Greek Theatre,CALIFORNIA,Alameda,Berkeley,Oxford St.,Listed,Multiple,FALSE,2,LANDSCAPE ARCHITECTURE; ARCHITECTURE,SITE,https://catalog.archives.gov/id/123857326,FALSE,TRUE,FALSE,FALSE,FALSE,3/25/82,NA,NA,NA,82004644
100006085,SG,Oakland Auditorium,CALIFORNIA,Alameda,Oakland,10 10th St.,Listed,Single,FALSE,4.79,ARCHITECTURE; ENTERTAINMENT/RECREATION,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,2/1/21,NA,Henry J. Kaiser Auditorium,NA,100006085
73000395,NA,Paramount Theatre,CALIFORNIA,Alameda,Oakland,2025 Broadway,Listed,Single,FALSE,0.9,ART; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858314,FALSE,TRUE,FALSE,FALSE,FALSE,8/14/73,5/5/77,NA,NA,73000395
91001383,NA,State Theatre,CALIFORNIA,Butte,Oroville,1489 Myers St.,Listed,Single,FALSE,0.9,COMMUNITY PLANNING AND DEVELOPMENT; ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858460,FALSE,FALSE,FALSE,TRUE,FALSE,9/13/91,NA,State Theater,NA,91001383
100000779,MP,Azteca Theater,CALIFORNIA,Fresno,Fresno,836-840 F St.,Listed,Multiple,FALSE,0.9,NA,building,NA,FALSE,FALSE,FALSE,TRUE,FALSE,3/27/17,NA,Teatro Azteca; Azteca Theatre,NA,100000779
94000427,NA,Fresno Memorial Auditorium,CALIFORNIA,Fresno,Fresno,2425 Fresno St.,Listed,Single,FALSE,2.9,ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123858652,FALSE,FALSE,FALSE,TRUE,FALSE,5/10/94,NA,Veterans Memorial Auditorium,NA,94000427
78000663,NA,"Pantages, Alexander, Theater",CALIFORNIA,Fresno,Fresno,1400 Fulton St.,Listed,Single,FALSE,0.9,ARCHITECTURE; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123858679,FALSE,FALSE,FALSE,TRUE,FALSE,2/23/78,NA,Warnors Theatre,NA,78000663
84000774,NA,Reedley Opera House Complex,CALIFORNIA,Fresno,Reedley,10th and G Sts.,Listed,Single,FALSE,0.2,COMMERCE; ARCHITECTURE; SOCIAL HISTORY; PERFORMING ARTS,BUILDING,https://catalog.archives.gov/id/123858685,FALSE,FALSE,FALSE,TRUE,FALSE,4/5/84,NA,NA,NA,84000774
92001276,NA,Tower Theatre,CALIFORNIA,Fresno,Fresno,1201 N. Wishon Ave.,Listed,Single,FALSE,1.8,ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858703,FALSE,FALSE,FALSE,TRUE,FALSE,9/24/92,NA,NA,NA,92001276
09001199,NA,Eureka Theatre,CALIFORNIA,Humboldt,Eureka,612 F. St.,Listed,Single,FALSE,0.9,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858742,FALSE,FALSE,FALSE,TRUE,FALSE,1/7/10,NA,NA,NA,09001199
09000372,NA,Sweasey Theater-Loew's State Theater,CALIFORNIA,Humboldt,Eureka,412 G St.,Listed,Single,FALSE,0.9,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,https://catalog.archives.gov/id/123858800,FALSE,FALSE,FALSE,TRUE,FALSE,6/5/09,NA,State Theater; Arkley Center for the Performing Arts,NA,09000372
97001188,NA,Wasco Union High School Auditorium,CALIFORNIA,Kern,Wasco,1900 Seventh St.,Listed,Single,FALSE,0.9,SOCIAL HISTORY; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858875,FALSE,FALSE,FALSE,TRUE,FALSE,9/30/97,NA,NA,NA,97001188
96000102,NA,Alexander Theatre,CALIFORNIA,Los Angeles,Glendale,216 N. Brand Blvd.,Listed,Single,FALSE,0.5,ENTERTAINMENT/RECREATION; ARCHITECTURE,BUILDING,https://catalog.archives.gov/id/123858911,FALSE,FALSE,FALSE,TRUE,FALSE,2/16/96,NA,Alex Theatre,NA,96000102
