state,city,theatre,built,seats,address,latitude,longitude
IL,Crystal Lake,Raue Center for the Arts,1929,750,"Raue Center for the Arts, Crystal Lake, IL",42.2419376,-88.318884
IL,Danville,The Historic Fischer Theatre,1884,800,"The Historic Fischer Theatre, Danville, IL",40.1281094,-87.6304693
IL,DeKalb,Egyptian Theatre,1928,1400,"Egyptian Theatre, DeKalb, IL",41.931178,-88.752855
IL,Dixon,The Dixon | Historic Theatre,1922,960,"The Dixon | Historic Theatre, Dixon, IL",41.8431317,-89.4821248
IL,Effingham,Heart Theatre,1940,275,"Heart Theatre, Effingham, IL",39.120003,-88.542082
IL,Galesburg,The Orpheum Theatre,1916,920,"The Orpheum Theatre, Galesburg, IL",40.9468005,-90.3659788
IL,Quincy,Washington Theater,1924,1000,"Washington Theater, Quincy, IL",47.2334731,-119.8533538
IL,Rockford,Coronado Performing Arts Center,1927,2309,"Coronado Performing Arts Center, Rockford, IL",42.273761,-89.093012
IL,Woodstock,Woodstock Opera House,1890,420,"Woodstock Opera House, Woodstock, IL",42.314131,-88.447636
IN,Anderson,Paramount Theatre Centre & Ballroom,1929,1458,"Paramount Theatre Centre & Ballroom, Anderson, IN",40.1044082,-85.6787768
IN,Bloomington,Buskirk-Chumley Theater,1922,629,"Buskirk-Chumley Theater, Bloomington, IN",39.166278,-86.532822
IN,Delphi,Delphi Opera House,1865,233,"Delphi Opera House, Delphi, IN",40.586141,-86.673992
IN,Elkhart,The Lerner Theatre,1924,1700,"The Lerner Theatre, Elkhart, IN",41.687381,-85.973536
IN,Evansville,Victory Theatre,1921,1950,"Victory Theatre, Evansville, IN",37.9727739,-87.5689528
IN,Fort Wayne,Arts United Center,1973,660,"Arts United Center, Fort Wayne, IN",41.081415,-85.13645
IN,Fort Wayne,Embassy Theatre,1928,2471,"Embassy Theatre, Fort Wayne, IN",41.0757373,-85.1398001
IN,Fort Wayne,Robert Goldstine Performing Arts Center,1925,2011,"Robert Goldstine Performing Arts Center, Fort Wayne, IN",41.0781798,-85.1454427
IN,Franklin,Artcraft Theatre,1922,572,"Artcraft Theatre, Franklin, IN",39.4811861,-86.0548133
IN,Goshen,Goshen Theater,1905,750,"Goshen Theater, Goshen, IN",41.584491,-85.8340083
IN,Indianapolis,Basile Theatre,1897,400,"Basile Theatre, Indianapolis, IN",39.659548511104,-86.087925520766
IN,Lafayette,Long Center for the Performing Arts,1921,1150,"Long Center for the Performing Arts, Lafayette, IN",40.418577,-86.890291
IN,Nashville,Brown County Playhouse,1949,426,"Brown County Playhouse, Nashville, IN",39.2064777,-86.2472584
IN,Plymouth,The REES,1940,400,"The REES, Plymouth, IN",41.34013,-86.30869
IN,Rochester,The Times Theater,1924,NA,"The Times Theater, Rochester, IN",41.060752208678,-86.231860311714
IN,Shelbyville,Strand Theatre,1916,369,"Strand Theatre, Shelbyville, IN",39.5225235,-85.77739
IN,South Bend,Morris Performing Arts Center,1921,2564,"Morris Performing Arts Center, South Bend, IN",41.678134,-86.250975
IN,Spencer,Historic Tivoli Theatre,NA,NA,"Historic Tivoli Theatre, Spencer, IN",39.28646,-86.76121
